play_id,period,time_remaining_period,secs_remaining,secs_remaining_absolute,description,home_score,away_score,score_diff,play_length,win_prob,home,away,home_time_out_remaining,away_time_out_remaining,home_timeout_ind,away_timeout_ind,home_favored_by,game_id,date,whichScored
1,1,9:50,2390,2390,Miranda Crockett missed Jumper.,0,0,0,0,0.5,Kentucky,Morehead State,4,4,0,0,NA,400987737,2017-11-22,NA
2,1,9:50,2390,2390,Alyssa Rice Defensive Rebound.,0,0,0,14,0.5,Kentucky,Morehead State,4,4,0,0,NA,400987737,2017-11-22,
3,1,9:36,2376,2376,Maci Morris Turnover.,0,0,0,0,0.5,Kentucky,Morehead State,4,4,0,0,NA,400987737,2017-11-22,
4,1,9:36,2376,2376,Tierra McGowan Steal.,0,0,0,6,0.5,Kentucky,Morehead State,4,4,0,0,NA,400987737,2017-11-22,
5,1,9:30,2370,2370,Miranda Crockett Turnover.,0,0,0,12,0.5,Kentucky,Morehead State,4,4,0,0,NA,400987737,2017-11-22,
6,1,9:18,2358,2358,Dorie Harrison Turnover.,0,0,0,17,0.5,Kentucky,Morehead State,4,4,0,0,NA,400987737,2017-11-22,
7,1,9:01,2341,2341,Eriel McKee missed Jumper.,0,0,0,0,0.5,Kentucky,Morehead State,4,4,0,0,NA,400987737,2017-11-22,
8,1,9:01,2341,2341,Tierra McGowan Offensive Rebound.,0,0,0,18,0.5,Kentucky,Morehead State,4,4,0,0,NA,400987737,2017-11-22,
9,1,8:43,2323,2323,Erin Blaine Turnover.,0,0,0,4,0.5,Kentucky,Morehead State,4,4,0,0,NA,400987737,2017-11-22,
10,1,8:39,2319,2319,Foul on Darianne Seward.,0,0,0,0,0.5,Kentucky,Morehead State,4,4,0,0,NA,400987737,2017-11-22,
11,1,8:39,2319,2319,Taylor Murray made Free Throw.,1,0,1,0,0.522931793783012,Kentucky,Morehead State,4,4,0,0,NA,400987737,2017-11-22,Kentucky
12,1,8:39,2319,2319,Taylor Murray made Free Throw.,2,0,2,23,0.5457673174479175,Kentucky,Morehead State,4,4,0,0,NA,400987737,2017-11-22,Kentucky
13,1,8:16,2296,2296,Erin Blaine Turnover.,2,0,2,16,0.5462763437592703,Kentucky,Morehead State,4,4,0,0,NA,400987737,2017-11-22,
14,1,8:00,2280,2280,Maci Morris made Layup. Assisted by Dorie Harrison.,4,0,4,19,0.5924629166951938,Kentucky,Morehead State,4,4,0,0,NA,400987737,2017-11-22,Kentucky
15,1,7:41,2261,2261,Erin Blaine missed Jumper.,4,0,4,0,0.5932953283113396,Kentucky,Morehead State,4,4,0,0,NA,400987737,2017-11-22,
16,1,7:41,2261,2261,Dorie Harrison Defensive Rebound.,4,0,4,21,0.5932953283113396,Kentucky,Morehead State,4,4,0,0,NA,400987737,2017-11-22,
17,1,7:20,2240,2240,Dorie Harrison made Jumper. Assisted by Makenzie Cann.,6,0,6,13,0.6392631462141356,Kentucky,Morehead State,4,4,0,0,NA,400987737,2017-11-22,Kentucky
18,1,7:07,2227,2227,Foul on Makenzie Cann.,6,0,6,7,0.6400895751870277,Kentucky,Morehead State,4,4,0,0,NA,400987737,2017-11-22,
19,1,7:00,2220,2220,Miranda Crockett missed Jumper.,6,0,6,0,0.6405355407379745,Kentucky,Morehead State,4,4,0,0,NA,400987737,2017-11-22,
20,1,7:00,2220,2220,Morehead State Offensive Rebound.,6,0,6,6,0.6405355407379745,Kentucky,Morehead State,4,4,0,0,NA,400987737,2017-11-22,
21,1,6:54,2214,2214,Darianne Seward made Three Point Jumper. Assisted by Brooke Todd.,6,3,3,27,0.5719168081371919,Kentucky,Morehead State,4,4,0,0,NA,400987737,2017-11-22,Morehead State
22,1,6:27,2187,2187,Jaida Roper Turnover.,6,3,3,2,0.5728361382170892,Kentucky,Morehead State,4,4,0,0,NA,400987737,2017-11-22,
23,1,6:25,2185,2185,Eriel McKee Steal.,6,3,3,10,0.5729044293447572,Kentucky,Morehead State,4,4,0,0,NA,400987737,2017-11-22,
24,1,6:15,2175,2175,Miranda Crockett made Jumper.,6,5,1,18,0.5245725316816549,Kentucky,Morehead State,4,4,0,0,NA,400987737,2017-11-22,Morehead State
25,1,5:57,2157,2157,Makenzie Cann made Three Point Jumper. Assisted by Alyssa Rice.,9,5,4,13,0.597928390361488,Kentucky,Morehead State,4,4,0,0,NA,400987737,2017-11-22,Kentucky
26,1,5:44,2144,2144,Darianne Seward Turnover.,9,5,4,1,0.5985152089676032,Kentucky,Morehead State,4,4,0,0,NA,400987737,2017-11-22,
27,1,5:43,2143,2143,Alyssa Rice Steal.,9,5,4,4,0.5985604481955343,Kentucky,Morehead State,4,4,0,0,NA,400987737,2017-11-22,
28,1,5:39,2139,2139,Jaida Roper made Layup. Assisted by Maci Morris.,11,5,6,15,0.64573327893227,Kentucky,Morehead State,4,4,0,0,NA,400987737,2017-11-22,Kentucky
29,1,5:24,2124,2124,Miranda Crockett missed Jumper.,11,5,6,0,0.646705989004505,Kentucky,Morehead State,4,4,0,0,NA,400987737,2017-11-22,
30,1,5:24,2124,2124,Alyssa Rice Defensive Rebound.,11,5,6,9,0.646705989004505,Kentucky,Morehead State,4,4,0,0,NA,400987737,2017-11-22,
31,1,5:15,2115,2115,Amanda Paschal made Layup.,13,5,8,0,0.6920116600326757,Kentucky,Morehead State,4,4,0,0,NA,400987737,2017-11-22,Kentucky
32,1,5:15,2115,2115,Foul on Miranda Crockett.,13,5,8,0,0.6920116600326757,Kentucky,Morehead State,4,4,0,0,NA,400987737,2017-11-22,
33,1,5:15,2115,2115,Amanda Paschal missed Free Throw.,13,5,8,0,0.6920116600326757,Kentucky,Morehead State,4,4,0,0,NA,400987737,2017-11-22,
34,1,5:15,2115,2115,Brooke Todd Defensive Rebound.,13,5,8,5,0.6920116600326757,Kentucky,Morehead State,4,4,0,0,NA,400987737,2017-11-22,
35,1,5:10,2110,2110,Darianne Seward missed Three Point Jumper.,13,5,8,0,0.6924174955816009,Kentucky,Morehead State,4,4,0,0,NA,400987737,2017-11-22,
36,1,5:10,2110,2110,Jessica Hardin Defensive Rebound.,13,5,8,23,0.6924174955816009,Kentucky,Morehead State,4,4,0,0,NA,400987737,2017-11-22,
37,1,4:47,2087,2087,Jaida Roper made Jumper. Assisted by Makenzie Cann.,15,5,10,11,0.7360081399097856,Kentucky,Morehead State,4,4,0,0,NA,400987737,2017-11-22,Kentucky
38,1,4:36,2076,2076,Eriel McKee made Jumper.,15,7,8,21,0.695191486960765,Kentucky,Morehead State,4,4,0,0,NA,400987737,2017-11-22,Morehead State
39,1,4:15,2055,2055,Jessica Hardin made Three Point Jumper. Assisted by Makenzie Cann.,18,7,11,6,0.7585811270123443,Kentucky,Morehead State,4,4,0,0,NA,400987737,2017-11-22,Kentucky
40,1,4:09,2049,2049,Darianne Seward missed Layup.,18,7,11,0,0.7591715929383401,Kentucky,Morehead State,4,4,0,0,NA,400987737,2017-11-22,
41,1,4:09,2049,2049,Makenzie Cann Block.,18,7,11,4,0.7591715929383401,Kentucky,Morehead State,4,4,0,0,NA,400987737,2017-11-22,
42,1,4:05,2045,2045,Morehead State Offensive Rebound.,18,7,11,0,0.7595656224793035,Kentucky,Morehead State,4,4,0,0,NA,400987737,2017-11-22,
43,1,4:05,2045,2045,Official TV Timeout,18,7,11,11,0.7595656224793035,Kentucky,Morehead State,4,4,0,0,NA,400987737,2017-11-22,
44,1,3:54,2034,2034,Miranda Crockett made Jumper.,18,9,9,20,0.7203147914092828,Kentucky,Morehead State,4,4,0,0,NA,400987737,2017-11-22,Morehead State
