game_id,away,home,away_rank,home_rank,away_score,home_score,date
401095877,Erskine,Charleston Southern,NA,NA,50,74,2018-12-11
401091495,McNeese,LSU,NA,NA,36,86,2018-12-11
401090522,Grambling,Wichita State,NA,NA,61,70,2018-12-11
401096215,Johnson C. Smith,North Carolina A&T,NA,NA,53,50,2018-12-11
401094422,Stanislaus State,Nevada,NA,NA,52,75,2018-12-11
401090792,Columbia,Fordham,NA,NA,49,68,2018-12-11
401096367,Spring Hill,Jackson State,NA,NA,57,105,2018-12-11
401090793,Hartford,Rhode Island,NA,NA,65,51,2018-12-11
401093239,Princeton,Monmouth,NA,NA,79,47,2018-12-11
401093240,Stony Brook,Iona,NA,NA,53,51,2018-12-11
401093444,Yale,Army,NA,NA,62,51,2018-12-11
401092232,East Tennessee State,UNC Asheville,NA,NA,55,56,2018-12-11
401092417,Alcorn State,Southern Miss,NA,NA,47,66,2018-12-11
401092418,Florida International,North Florida,NA,NA,53,62,2018-12-11
401093083,Portland State,Grand Canyon,NA,NA,60,55,2018-12-11
401093084,Denver,New Mexico State,NA,NA,64,66,2018-12-11
401094616,Murray State,Illinois,NA,NA,52,84,2018-12-11
