play_id,period,time_remaining_period,secs_remaining,secs_remaining_absolute,description,home_score,away_score,score_diff,play_length,win_prob,home,away,home_time_out_remaining,away_time_out_remaining,home_timeout_ind,away_timeout_ind,home_favored_by,game_id,date,whichScored
1,1,9:53,2393,2393,Cameron Swartz missed Layup.,0,0,0,7,0.5,Boston College,Delaware State,4,4,0,0,NA,401171189,2019-12-20,NA
2,1,9:46,2386,2386,Cameron Swartz Offensive Rebound.,0,0,0,3,0.5,Boston College,Delaware State,4,4,0,0,NA,401171189,2019-12-20,
3,1,9:43,2383,2383,Cameron Swartz made Layup.,2,0,2,16,0.5443841825587584,Boston College,Delaware State,4,4,0,0,NA,401171189,2019-12-20,Boston College
4,1,9:27,2367,2367,Janasia Law missed Layup.,2,0,2,5,0.5447248964309589,Boston College,Delaware State,4,4,0,0,NA,401171189,2019-12-20,
5,1,9:22,2362,2362,Miajah Bullock Offensive Rebound.,2,0,2,2,0.5448321023078697,Boston College,Delaware State,4,4,0,0,NA,401171189,2019-12-20,
6,1,9:20,2360,2360,Miajah Bullock Turnover.,2,0,2,0,0.5448750795359576,Boston College,Delaware State,4,4,0,0,NA,401171189,2019-12-20,
7,1,9:20,2360,2360,Makayla Dickens Steal.,2,0,2,7,0.5448750795359576,Boston College,Delaware State,4,4,0,0,NA,401171189,2019-12-20,
8,1,9:13,2353,2353,Makayla Dickens missed Three Point Jumper.,2,0,2,0,0.545025919036486,Boston College,Delaware State,4,4,0,0,NA,401171189,2019-12-20,
9,1,9:13,2353,2353,Boston College Offensive Rebound.,2,0,2,0,0.545025919036486,Boston College,Delaware State,4,4,0,0,NA,401171189,2019-12-20,
10,1,9:13,2353,2353,Emma Guy made Layup. Assisted by Makayla Dickens.,4,0,4,24,0.5893274519706351,Boston College,Delaware State,4,4,0,0,NA,401171189,2019-12-20,Boston College
11,1,8:49,2329,2329,Sharajah Collins missed Layup.,4,0,4,0,0.5903459082590158,Boston College,Delaware State,4,4,0,0,NA,401171189,2019-12-20,
