play_id,period,time_remaining_period,secs_remaining,secs_remaining_absolute,description,home_score,away_score,score_diff,play_length,win_prob,home,away,home_time_out_remaining,away_time_out_remaining,home_timeout_ind,away_timeout_ind,home_favored_by,game_id,date,whichScored
1,1,9:44,2384,2384,Alexis Jones made Jumper.,0,0,0,76,0.5,Baylor,Abilene Christian,4,4,0,0,NA,400905156,2016-12-01,NA
2,1,8:28,2308,2308,Beatrice Mompremier Defensive Rebound.,2,0,2,4,0.5460100625768887,Baylor,Abilene Christian,4,4,0,0,NA,400905156,2016-12-01,Baylor
3,1,8:24,2304,2304,Beatrice Mompremier Turnover.,2,0,2,1,0.5460986569417104,Baylor,Abilene Christian,4,4,0,0,NA,400905156,2016-12-01,
4,1,8:23,2303,2303,Sara Williamson Steal.,2,0,2,0,0.5461208317819461,Baylor,Abilene Christian,4,4,0,0,NA,400905156,2016-12-01,
5,1,8:23,2303,2303,Foul on Beatrice Mompremier.,2,0,2,4,0.5461208317819461,Baylor,Abilene Christian,4,4,0,0,NA,400905156,2016-12-01,
6,1,8:19,2299,2299,Sydney Shelstead Turnover.,2,0,2,14,0.5462096345603725,Baylor,Abilene Christian,4,4,0,0,NA,400905156,2016-12-01,
7,1,8:05,2285,2285,Nina Davis made Jumper. Assisted by Alexis Jones.,4,0,4,18,0.5922448401023548,Baylor,Abilene Christian,4,4,0,0,NA,400905156,2016-12-01,Baylor
8,1,7:47,2267,2267,Lizzy Dimba made Jumper. Assisted by Sara Williamson.,4,2,2,25,0.546925639914279,Baylor,Abilene Christian,4,4,0,0,NA,400905156,2016-12-01,Abilene Christian
9,1,7:22,2242,2242,Sydney Shelstead missed Jumper.,4,2,2,0,0.5474911634847673,Baylor,Abilene Christian,4,4,0,0,NA,400905156,2016-12-01,
10,1,7:22,2242,2242,Nina Davis Defensive Rebound.,4,2,2,8,0.5474911634847673,Baylor,Abilene Christian,4,4,0,0,NA,400905156,2016-12-01,
11,1,7:14,2234,2234,Beatrice Mompremier made Jumper. Assisted by Kristy Wallace.,6,2,4,16,0.5944872633273566,Baylor,Abilene Christian,4,4,0,0,NA,400905156,2016-12-01,Baylor
12,1,6:58,2218,2218,Sydney Shelstead missed Jumper.,6,2,4,0,0.5951978608019828,Baylor,Abilene Christian,4,4,0,0,NA,400905156,2016-12-01,
13,1,6:58,2218,2218,Beatrice Mompremier Block.,6,2,4,1,0.5951978608019828,Baylor,Abilene Christian,4,4,0,0,NA,400905156,2016-12-01,
14,1,6:57,2217,2217,Sara Williamson Offensive Rebound.,6,2,4,12,0.5952423656117797,Baylor,Abilene Christian,4,4,0,0,NA,400905156,2016-12-01,
15,1,6:45,2205,2205,Sydney Shelstead missed Jumper.,6,2,4,0,0.5957771937717765,Baylor,Abilene Christian,4,4,0,0,NA,400905156,2016-12-01,
16,1,6:45,2205,2205,Sydney Shelstead Offensive Rebound.,6,2,4,9,0.5957771937717765,Baylor,Abilene Christian,4,4,0,0,NA,400905156,2016-12-01,
17,1,6:36,2196,2196,Sydney Shelstead Turnover.,6,2,4,20,0.5961791766315144,Baylor,Abilene Christian,4,4,0,0,NA,400905156,2016-12-01,
18,1,6:16,2176,2176,Suzzy Dimba missed Three Point Jumper.,6,2,4,6,0.5970747069730985,Baylor,Abilene Christian,4,4,0,0,NA,400905156,2016-12-01,
19,1,6:10,2170,2170,Khadijiah Cave made Layup. Assisted by Kalani Brown.,8,2,6,26,0.6437356282249784,Baylor,Abilene Christian,4,4,0,0,NA,400905156,2016-12-01,Baylor
20,1,5:44,2144,2144,Lizzy Dimba missed Jumper.,8,2,6,0,0.6454099645184839,Baylor,Abilene Christian,4,4,0,0,NA,400905156,2016-12-01,
21,1,5:44,2144,2144,Kalani Brown Defensive Rebound.,8,2,6,17,0.6454099645184839,Baylor,Abilene Christian,4,4,0,0,NA,400905156,2016-12-01,
22,1,5:27,2127,2127,Khadijiah Cave missed Jumper.,8,2,6,0,0.6465111061810769,Baylor,Abilene Christian,4,4,0,0,NA,400905156,2016-12-01,
23,1,5:27,2127,2127,Khadijiah Cave Offensive Rebound.,8,2,6,15,0.6465111061810769,Baylor,Abilene Christian,4,4,0,0,NA,400905156,2016-12-01,
24,1,5:12,2112,2112,Natalie Chou missed Three Point Jumper.,8,2,6,0,0.6474872938994457,Baylor,Abilene Christian,4,4,0,0,NA,400905156,2016-12-01,
25,1,5:12,2112,2112,Dekeiya Cohen Offensive Rebound.,8,2,6,5,0.6474872938994457,Baylor,Abilene Christian,4,4,0,0,NA,400905156,2016-12-01,
26,1,5:07,2107,2107,Dekeiya Cohen missed Jumper.,8,2,6,0,0.6478136993847357,Baylor,Abilene Christian,4,4,0,0,NA,400905156,2016-12-01,
27,1,5:07,2107,2107,Baylor Offensive Rebound.,8,2,6,2,0.6478136993847357,Baylor,Abilene Christian,4,4,0,0,NA,400905156,2016-12-01,
28,1,5:05,2105,2105,Kalani Brown made Free Throw.,10,2,8,22,0.6928238468991776,Baylor,Abilene Christian,4,4,0,0,NA,400905156,2016-12-01,Baylor
29,1,4:43,2083,2083,Foul on Khadijiah Cave.,10,2,8,0,0.6946182326113824,Baylor,Abilene Christian,4,4,0,0,NA,400905156,2016-12-01,
30,1,4:43,2083,2083,Official TV Timeout,10,2,8,0,0.6946182326113824,Baylor,Abilene Christian,4,4,0,0,NA,400905156,2016-12-01,
31,1,4:43,2083,2083,Suzzy Dimba missed Free Throw.,10,2,8,10,0.6946182326113824,Baylor,Abilene Christian,4,4,0,0,NA,400905156,2016-12-01,
32,1,4:33,2073,2073,Khadijiah Cave made Jumper.,12,3,9,13,0.7168465974888697,Baylor,Abilene Christian,4,4,0,0,NA,400905156,2016-12-01,Baylor
33,1,4:20,2060,2060,Kalani Brown Steal.,12,3,9,13,0.7179985192359943,Baylor,Abilene Christian,4,4,0,0,NA,400905156,2016-12-01,
34,1,4:07,2047,2047,Kalani Brown made Layup. Assisted by Dekeiya Cohen.,14,3,11,9,0.7593685686383168,Baylor,Abilene Christian,4,4,0,0,NA,400905156,2016-12-01,Baylor
35,1,3:58,2038,2038,Suzzy Dimba Turnover.,14,3,11,0,0.7602559372756852,Baylor,Abilene Christian,4,4,0,0,NA,400905156,2016-12-01,
36,1,3:58,2038,2038,Dekeiya Cohen Steal.,14,3,11,0,0.7602559372756852,Baylor,Abilene Christian,4,4,0,0,NA,400905156,2016-12-01,
37,1,3:58,2038,2038,Foul on Dekeiya Cohen.,14,3,11,18,0.7602559372756852,Baylor,Abilene Christian,4,4,0,0,NA,400905156,2016-12-01,
38,1,3:40,2020,2020,Foul on Calveion Landrum.,14,3,11,8,0.7620356966043292,Baylor,Abilene Christian,4,4,0,0,NA,400905156,2016-12-01,
39,1,3:32,2012,2012,Lizzy Dimba Offensive Rebound.,14,3,11,3,0.7628289623193487,Baylor,Abilene Christian,4,4,0,0,NA,400905156,2016-12-01,
40,1,3:29,2009,2009,Foul on Khadijiah Cave.,14,3,11,0,0.7631268102539747,Baylor,Abilene Christian,4,4,0,0,NA,400905156,2016-12-01,
41,1,3:29,2009,2009,Lizzy Dimba missed Free Throw.,14,3,11,0,0.7631268102539747,Baylor,Abilene Christian,4,4,0,0,NA,400905156,2016-12-01,
42,1,3:29,2009,2009,Abilene Christian Deadball Team Rebound.,14,3,11,18,0.7631268102539747,Baylor,Abilene Christian,4,4,0,0,NA,400905156,2016-12-01,
43,1,3:11,1991,1991,Kalani Brown made Layup. Assisted by Calveion Landrum.,16,4,12,16,0.7836549031595141,Baylor,Abilene Christian,4,4,0,0,NA,400905156,2016-12-01,Baylor
44,1,2:55,1975,1975,Sydney Shelstead made Jumper.,16,6,10,17,0.7466230399803894,Baylor,Abilene Christian,4,4,0,0,NA,400905156,2016-12-01,Abilene Christian
45,1,2:38,1958,1958,Lauren Cox missed Jumper.,16,6,10,12,0.7482634441483158,Baylor,Abilene Christian,4,4,0,0,NA,400905156,2016-12-01,
46,1,2:26,1946,1946,Dominique Golightly made Three Point Jumper. Assisted by Suzzy Dimba.,16,9,7,31,0.6828477650685788,Baylor,Abilene Christian,4,4,0,0,NA,400905156,2016-12-01,Abilene Christian
47,1,1:55,1915,1915,Kalani Brown made Jumper. Assisted by Calveion Landrum.,18,9,9,24,0.7311619003962411,Baylor,Abilene Christian,4,4,0,0,NA,400905156,2016-12-01,Baylor
48,1,1:31,1891,1891,Sierra Allen made Three Point Jumper. Assisted by Breanna Wright.,18,12,6,16,0.6625129994211784,Baylor,Abilene Christian,4,4,0,0,NA,400905156,2016-12-01,Abilene Christian
49,1,1:15,1875,1875,Lauren Cox Turnover.,18,12,6,11,0.663629824201084,Baylor,Abilene Christian,4,4,0,0,NA,400905156,2016-12-01,
50,1,1:04,1864,1864,Sierra Allen missed Jumper.,18,12,6,0,0.6643978032601596,Baylor,Abilene Christian,4,4,0,0,NA,400905156,2016-12-01,
51,1,1:04,1864,1864,Kalani Brown Block.,18,12,6,8,0.6643978032601596,Baylor,Abilene Christian,4,4,0,0,NA,400905156,2016-12-01,
52,1,0:56,1856,1856,Dekeiya Cohen Turnover.,18,12,6,13,0.6649567815074039,Baylor,Abilene Christian,4,4,0,0,NA,400905156,2016-12-01,
53,1,0:43,1843,1843,Alexis Mason missed Three Point Jumper.,18,12,6,0,0.665866522330796,Baylor,Abilene Christian,4,4,0,0,NA,400905156,2016-12-01,
54,1,0:43,1843,1843,Calveion Landrum Defensive Rebound.,18,12,6,7,0.665866522330796,Baylor,Abilene Christian,4,4,0,0,NA,400905156,2016-12-01,
55,1,0:36,1836,1836,Calveion Landrum missed Jumper.,18,12,6,0,0.66635736786108,Baylor,Abilene Christian,4,4,0,0,NA,400905156,2016-12-01,
56,1,0:36,1836,1836,Lauren Cox Offensive Rebound.,18,12,6,1,0.66635736786108,Baylor,Abilene Christian,4,4,0,0,NA,400905156,2016-12-01,
57,1,0:35,1835,1835,Foul on Suzzy Dimba.,18,12,6,0,0.6664275563286414,Baylor,Abilene Christian,4,4,0,0,NA,400905156,2016-12-01,
58,1,0:35,1835,1835,Lauren Cox made Free Throw.,19,12,7,21,0.691558725730172,Baylor,Abilene Christian,4,4,0,0,NA,400905156,2016-12-01,Baylor
