play_id,period,time_remaining_period,secs_remaining,secs_remaining_absolute,description,home_score,away_score,score_diff,play_length,win_prob,home,away,home_time_out_remaining,away_time_out_remaining,home_timeout_ind,away_timeout_ind,home_favored_by,game_id,date,whichScored
1,1,9:41,2381,2381,Sierra Green missed Layup.,0,0,0,5,0.5,Monmouth,Canisius,4,4,0,0,NA,401178840,2020-01-04,NA
2,1,9:36,2376,2376,D'Jhai Patterson-Ricks Defensive Rebound.,0,0,0,6,0.5,Monmouth,Canisius,4,4,0,0,NA,401178840,2020-01-04,
3,1,9:30,2370,2370,Danielle Sanderlin made Layup. Assisted by D'Jhai Patterson-Ricks.,0,2,-2,23,0.4553392623404728,Monmouth,Canisius,4,4,0,0,NA,401178840,2020-01-04,Canisius
4,1,9:07,2347,2347,Lucy Thomas made Jumper. Assisted by Akilah Jennings.,2,2,0,16,0.5,Monmouth,Canisius,4,4,0,0,NA,401178840,2020-01-04,Monmouth
5,1,8:51,2331,2331,D'Jhai Patterson-Ricks missed Three Point Jumper.,2,2,0,4,0.5,Monmouth,Canisius,4,4,0,0,NA,401178840,2020-01-04,
6,1,8:47,2327,2327,Alexa Middleton Defensive Rebound.,2,2,0,6,0.5,Monmouth,Canisius,4,4,0,0,NA,401178840,2020-01-04,
7,1,8:41,2321,2321,Rosa Graham missed Layup.,2,2,0,3,0.5,Monmouth,Canisius,4,4,0,0,NA,401178840,2020-01-04,
8,1,8:38,2318,2318,Erika Joseph Defensive Rebound.,2,2,0,11,0.5,Monmouth,Canisius,4,4,0,0,NA,401178840,2020-01-04,
9,1,8:27,2307,2307,Erika Joseph Turnover.,2,2,0,0,0.5,Monmouth,Canisius,4,4,0,0,NA,401178840,2020-01-04,
10,1,8:27,2307,2307,Alexa Middleton Steal.,2,2,0,6,0.5,Monmouth,Canisius,4,4,0,0,NA,401178840,2020-01-04,
11,1,8:21,2301,2301,Foul on Anna Sweny.,2,2,0,0,0.5,Monmouth,Canisius,4,4,0,0,NA,401178840,2020-01-04,
12,1,8:21,2301,2301,Akilah Jennings made Free Throw.,3,2,1,0,0.5231320113790872,Monmouth,Canisius,4,4,0,0,NA,401178840,2020-01-04,Monmouth
13,1,8:21,2301,2301,Akilah Jennings missed Free Throw.,3,2,1,2,0.5231320113790872,Monmouth,Canisius,4,4,0,0,NA,401178840,2020-01-04,
14,1,8:19,2299,2299,Tiana Pugh Defensive Rebound.,3,2,1,10,0.5231543655278497,Monmouth,Canisius,4,4,0,0,NA,401178840,2020-01-04,
15,1,8:09,2289,2289,Danielle Sanderlin missed Jumper.,3,2,1,4,0.5232664437104748,Monmouth,Canisius,4,4,0,0,NA,401178840,2020-01-04,
16,1,8:05,2285,2285,Rosa Graham Defensive Rebound.,3,2,1,14,0.5233114145205584,Monmouth,Canisius,4,4,0,0,NA,401178840,2020-01-04,
17,1,7:51,2271,2271,Alexa Middleton made Layup.,5,2,3,18,0.5699972718782212,Monmouth,Canisius,4,4,0,0,NA,401178840,2020-01-04,Monmouth
18,1,7:33,2253,2253,D'Jhai Patterson-Ricks missed Three Point Jumper.,5,2,3,4,0.5705997172683924,Monmouth,Canisius,4,4,0,0,NA,401178840,2020-01-04,
19,1,7:29,2249,2249,Tiana Pugh Offensive Rebound.,5,2,3,16,0.5707341011149291,Monmouth,Canisius,4,4,0,0,NA,401178840,2020-01-04,
20,1,7:13,2233,2233,Tiana Pugh made Layup.,5,4,1,15,0.5239024471442838,Monmouth,Canisius,4,4,0,0,NA,401178840,2020-01-04,Canisius
21,1,6:58,2218,2218,Akilah Jennings missed Three Point Jumper.,5,4,1,9,0.5240748370447984,Monmouth,Canisius,4,4,0,0,NA,401178840,2020-01-04,
22,1,6:49,2209,2209,Danielle Sanderlin Defensive Rebound.,5,4,1,10,0.5241786072287725,Monmouth,Canisius,4,4,0,0,NA,401178840,2020-01-04,
23,1,6:39,2199,2199,Danielle Sanderlin Turnover.,5,4,1,0,0.5242941748530289,Monmouth,Canisius,4,4,0,0,NA,401178840,2020-01-04,
24,1,6:39,2199,2199,Sierra Green missed Three Point Jumper.,5,4,1,0,0.5242941748530289,Monmouth,Canisius,4,4,0,0,NA,401178840,2020-01-04,
25,1,6:39,2199,2199,D'Jhai Patterson-Ricks Defensive Rebound.,5,4,1,36,0.5242941748530289,Monmouth,Canisius,4,4,0,0,NA,401178840,2020-01-04,
26,1,6:03,2163,2163,Tiana Pugh made Layup.,5,6,-1,19,0.47528780118465236,Monmouth,Canisius,4,4,0,0,NA,401178840,2020-01-04,Canisius
27,1,5:44,2144,2144,Lucy Thomas missed Jumper.,5,6,-1,4,0.4750655580036388,Monmouth,Canisius,4,4,0,0,NA,401178840,2020-01-04,
28,1,5:40,2140,2140,Tiana Pugh Defensive Rebound.,5,6,-1,17,0.4750185827432703,Monmouth,Canisius,4,4,0,0,NA,401178840,2020-01-04,
29,1,5:23,2123,2123,AJ Timbers made Three Point Jumper. Assisted by D'Jhai Patterson-Ricks.,5,9,-4,24,0.40053163635806227,Monmouth,Canisius,4,4,0,0,NA,401178840,2020-01-04,Canisius
30,1,4:59,2099,2099,Lucy Thomas made Jumper.,7,9,-2,18,0.4491977869424719,Monmouth,Canisius,4,4,0,0,NA,401178840,2020-01-04,Monmouth
31,1,4:41,2081,2081,Erika Joseph missed Layup.,7,9,-2,6,0.4487697008644929,Monmouth,Canisius,4,4,0,0,NA,401178840,2020-01-04,
32,1,4:35,2075,2075,Danielle Sanderlin Offensive Rebound.,7,9,-2,1,0.4486262807812338,Monmouth,Canisius,4,4,0,0,NA,401178840,2020-01-04,
33,1,4:34,2074,2074,Danielle Sanderlin missed Layup.,7,9,-2,3,0.448602341227073,Monmouth,Canisius,4,4,0,0,NA,401178840,2020-01-04,
34,1,4:31,2071,2071,Danielle Sanderlin Offensive Rebound.,7,9,-2,1,0.4485304598256185,Monmouth,Canisius,4,4,0,0,NA,401178840,2020-01-04,
35,1,4:30,2070,2070,Danielle Sanderlin missed Layup.,7,9,-2,5,0.4485064783338406,Monmouth,Canisius,4,4,0,0,NA,401178840,2020-01-04,
36,1,4:25,2065,2065,Lucy Thomas Defensive Rebound.,7,9,-2,5,0.4483864116833693,Monmouth,Canisius,4,4,0,0,NA,401178840,2020-01-04,
37,1,4:20,2060,2060,Taylor Nason missed Layup.,7,9,-2,0,0.44826607664459606,Monmouth,Canisius,4,4,0,0,NA,401178840,2020-01-04,
38,1,4:20,2060,2060,AJ Timbers Defensive Rebound.,7,9,-2,2,0.44826607664459606,Monmouth,Canisius,4,4,0,0,NA,401178840,2020-01-04,
39,1,4:18,2058,2058,D'Jhai Patterson-Ricks missed Jumper.,7,9,-2,0,0.44821786654308704,Monmouth,Canisius,4,4,0,0,NA,401178840,2020-01-04,
40,1,4:18,2058,2058,Lucy Thomas Defensive Rebound.,7,9,-2,5,0.44821786654308704,Monmouth,Canisius,4,4,0,0,NA,401178840,2020-01-04,
41,1,4:13,2053,2053,Foul on Danielle Sanderlin.,7,9,-2,0,0.4480971487316694,Monmouth,Canisius,4,4,0,0,NA,401178840,2020-01-04,
42,1,4:13,2053,2053,Official TV Timeout,7,9,-2,0,0.4480971487316694,Monmouth,Canisius,4,4,0,0,NA,401178840,2020-01-04,
43,1,4:13,2053,2053,Sierra Green missed Free Throw.,7,9,-2,0,0.4480971487316694,Monmouth,Canisius,4,4,0,0,NA,401178840,2020-01-04,
44,1,4:13,2053,2053,Monmouth Deadball Team Rebound.,7,9,-2,0,0.4480971487316694,Monmouth,Canisius,4,4,0,0,NA,401178840,2020-01-04,
45,1,4:13,2053,2053,Sierra Green made Free Throw.,8,9,-1,8,0.47397828444364243,Monmouth,Canisius,4,4,0,0,NA,401178840,2020-01-04,Monmouth
46,1,4:05,2045,2045,D'Jhai Patterson-Ricks Turnover.,8,9,-1,10,0.473880626850835,Monmouth,Canisius,4,4,0,0,NA,401178840,2020-01-04,
47,1,3:55,2035,2035,Jennifer Louro missed Three Point Jumper.,8,9,-1,3,0.47375802797736627,Monmouth,Canisius,4,4,0,0,NA,401178840,2020-01-04,
48,1,3:52,2032,2032,Tiana Pugh Defensive Rebound.,8,9,-1,5,0.4737211318323147,Monmouth,Canisius,4,4,0,0,NA,401178840,2020-01-04,
49,1,3:47,2027,2027,D'Jhai Patterson-Ricks Turnover.,8,9,-1,0,0.47365951674357903,Monmouth,Canisius,4,4,0,0,NA,401178840,2020-01-04,
50,1,3:47,2027,2027,Alexa Wallace Steal.,8,9,-1,18,0.47365951674357903,Monmouth,Canisius,4,4,0,0,NA,401178840,2020-01-04,
51,1,3:29,2009,2009,Alexa Middleton missed Layup.,8,9,-1,2,0.4734364142056067,Monmouth,Canisius,4,4,0,0,NA,401178840,2020-01-04,
52,1,3:27,2007,2007,Canisius Defensive Rebound.,8,9,-1,30,0.4734114977310812,Monmouth,Canisius,4,4,0,0,NA,401178840,2020-01-04,
53,1,2:57,1977,1977,Canisius  Turnover.,8,9,-1,12,0.47303455912603665,Monmouth,Canisius,4,4,0,0,NA,401178840,2020-01-04,
54,1,2:45,1965,1965,Jennifer Louro missed Jumper.,8,9,-1,5,0.47288204524399324,Monmouth,Canisius,4,4,0,0,NA,401178840,2020-01-04,
55,1,2:40,1960,1960,Anna Sweny Defensive Rebound.,8,9,-1,16,0.472818193272966,Monmouth,Canisius,4,4,0,0,NA,401178840,2020-01-04,
56,1,2:24,1944,1944,Foul on Jennifer Louro.,8,9,-1,12,0.4726126317748718,Monmouth,Canisius,4,4,0,0,NA,401178840,2020-01-04,
57,1,2:12,1932,1932,AJ Timbers missed Layup.,8,9,-1,4,0.472457194025965,Monmouth,Canisius,4,4,0,0,NA,401178840,2020-01-04,
58,1,2:08,1928,1928,Alexa Middleton Defensive Rebound.,8,9,-1,26,0.4724051551939024,Monmouth,Canisius,4,4,0,0,NA,401178840,2020-01-04,
59,1,1:42,1902,1902,Alexa Wallace made Layup.,10,9,1,9,0.5279324831172211,Monmouth,Canisius,4,4,0,0,NA,401178840,2020-01-04,Monmouth
60,1,1:33,1893,1893,AJ Timbers made Three Point Jumper.,10,12,-2,20,0.44407756204327364,Monmouth,Canisius,4,4,0,0,NA,401178840,2020-01-04,Canisius
61,1,1:13,1873,1873,Alexa Middleton made Layup.,12,12,0,28,0.5,Monmouth,Canisius,4,4,0,0,NA,401178840,2020-01-04,Monmouth
62,1,0:45,1845,1845,Foul on Rosa Graham.,12,12,0,0,0.5,Monmouth,Canisius,4,4,0,0,NA,401178840,2020-01-04,
63,1,0:45,1845,1845,Tiana Pugh made Free Throw.,12,13,-1,0,0.47132653429417115,Monmouth,Canisius,4,4,0,0,NA,401178840,2020-01-04,Canisius
64,1,0:45,1845,1845,Tiana Pugh made Free Throw.,12,14,-2,24,0.4428410455580461,Monmouth,Canisius,4,4,0,0,NA,401178840,2020-01-04,Canisius
