game_id,away,home,away_rank,home_rank,away_score,home_score,date
400905167,West Virginia,Baylor,24,2,73,79,2017-01-21
400911154,Texas,Texas Tech,12,NA,77,57,2017-01-21
400911370,Marquette,DePaul,NA,19,102,101,2017-01-21
400905226,Kansas State,Iowa State,22,NA,69,75,2017-01-21
400921580,Navy,Army,NA,NA,63,58,2017-01-21
400920478,Central Connecticut,St. Francis (PA),NA,NA,81,87,2017-01-21
400921427,Coastal Carolina,Georgia State,NA,NA,73,67,2017-01-21
400913275,Ball State,Bowling Green,NA,NA,75,53,2017-01-21
400913277,Central Michigan,Buffalo,NA,NA,56,67,2017-01-21
400914267,Presbyterian,Winthrop,NA,NA,78,39,2017-01-21
400917307,Lipscomb,North Florida,NA,NA,60,58,2017-01-21
400917308,Kennesaw State,Jacksonville,NA,NA,48,72,2017-01-21
400920257,Bryant,Robert Morris,NA,NA,46,62,2017-01-21
400920279,Mt. St. Mary's,St. Francis (BKN),NA,NA,62,44,2017-01-21
400911762,Tulsa,UCF,NA,NA,73,62,2017-01-21
400912502,South Carolina Upstate,Stetson,NA,NA,68,80,2017-01-21
400920397,Wagner,Sacred Heart,NA,NA,52,62,2017-01-21
400920996,Delaware State,South Carolina State,NA,NA,72,70,2017-01-21
400921018,Howard,North Carolina A&T,NA,NA,55,63,2017-01-21
400920746,Milwaukee,Green Bay,NA,NA,47,89,2017-01-21
400921386,Appalachian State,Georgia Southern,NA,NA,50,53,2017-01-21
400921289,Maryland-Eastern Shore,Bethune-Cookman,NA,NA,59,56,2017-01-21
400921581,Bucknell,Boston University,NA,NA,66,50,2017-01-21
400921582,Lehigh,Lafayette,NA,NA,56,53,2017-01-21
400921890,Tennessee Tech,Belmont,NA,NA,75,89,2017-01-21
400921724,Lamar,Nicholls,NA,NA,67,78,2017-01-21
400912663,La Salle,Davidson,NA,NA,65,58,2017-01-21
400911765,East Carolina,Cincinnati,NA,NA,64,74,2017-01-21
400912666,VCU,Fordham,NA,NA,61,58,2017-01-21
400911763,Memphis,Temple,NA,NA,51,66,2017-01-21
400913276,Eastern Michigan,Ohio,NA,NA,51,68,2017-01-21
400913279,Western Michigan,Akron,NA,NA,73,57,2017-01-21
400912668,Saint Louis,Rhode Island,NA,NA,68,50,2017-01-21
400920296,LIU Brooklyn,Fairleigh Dickinson,NA,NA,46,64,2017-01-21
400920170,Oral Roberts,Purdue Fort Wayne,NA,NA,75,59,2017-01-21
400913803,Rider,Quinnipiac,NA,NA,53,79,2017-01-21
400914266,Gardner-Webb,High Point,NA,NA,69,71,2017-01-21
400914120,Wofford,Mercer,NA,NA,39,54,2017-01-21
400914121,Western Carolina,East Tennessee State,NA,NA,57,76,2017-01-21
400914122,UNC Greensboro,Chattanooga,NA,NA,55,58,2017-01-21
400914264,Campbell,Longwood,NA,NA,66,54,2017-01-21
400913274,Miami (OH),Northern Illinois,NA,NA,76,89,2017-01-21
400913579,Liberty,UNC Asheville,NA,NA,54,64,2017-01-21
400913626,Northwestern State,McNeese,NA,NA,52,68,2017-01-21
400913650,Louisiana,Texas State,NA,NA,40,62,2017-01-21
400914265,Radford,Charleston Southern,NA,NA,45,57,2017-01-21
400914394,Minnesota,Iowa,NA,NA,65,80,2017-01-21
400914535,New Mexico State,UMKC,NA,NA,60,43,2017-01-21
400914536,UT Rio Grande Valley,Chicago State,NA,NA,57,46,2017-01-21
400914119,Furman,Samford,NA,NA,54,50,2017-01-21
400920171,Western Illinois,South Dakota State,NA,NA,58,73,2017-01-21
400913051,Florida International,UAB,NA,NA,68,82,2017-01-21
400913052,Southern Miss,Rice,NA,NA,68,76,2017-01-21
400913053,UTEP,UTSA,NA,NA,76,97,2017-01-21
400913056,Florida Atlantic,Middle Tennessee,NA,NA,69,87,2017-01-21
400913057,Marshall,Western Kentucky,NA,NA,57,73,2017-01-21
400911764,SMU,Houston,NA,NA,66,45,2017-01-21
400912667,George Washington,UMass,NA,NA,60,54,2017-01-21
400912664,Saint Joseph's,Dayton,NA,NA,59,64,2017-01-21
400921076,Prairie View A&M,Mississippi Valley State,NA,NA,55,64,2017-01-21
