play_id,period,time_remaining_period,secs_remaining,secs_remaining_absolute,description,home_score,away_score,score_diff,play_length,win_prob,home,away,home_time_out_remaining,away_time_out_remaining,home_timeout_ind,away_timeout_ind,home_favored_by,game_id,date,whichScored
1,1,9:34,2374,2374,Karisma Ortiz missed Three Point Jumper.,0,0,0,4,0.5,Ohio State,Penn State,4,4,0,0,NA,401094771,2019-02-06,NA
2,1,9:30,2370,2370,Alisia Smith Offensive Rebound.,0,0,0,17,0.5,Ohio State,Penn State,4,4,0,0,NA,401094771,2019-02-06,
3,1,9:13,2353,2353,Alisia Smith missed Jumper.,0,0,0,3,0.5,Ohio State,Penn State,4,4,0,0,NA,401094771,2019-02-06,
4,1,9:10,2350,2350,Makayla Waterman Defensive Rebound.,0,0,0,27,0.5,Ohio State,Penn State,4,4,0,0,NA,401094771,2019-02-06,
5,1,8:43,2323,2323,Carly Santoro made Jumper.,2,0,2,20,0.5456793799013266,Ohio State,Penn State,4,4,0,0,NA,401094771,2019-02-06,Ohio State
6,1,8:23,2303,2303,Teniya Page missed Three Point Jumper.,2,0,2,3,0.5461208317819461,Ohio State,Penn State,4,4,0,0,NA,401094771,2019-02-06,
7,1,8:20,2300,2300,Alisia Smith Offensive Rebound.,2,0,2,14,0.5461874184583804,Ohio State,Penn State,4,4,0,0,NA,401094771,2019-02-06,
8,1,8:06,2286,2286,Siyeh Frazier made Jumper.,2,2,0,27,0.5,Ohio State,Penn State,4,4,0,0,NA,401094771,2019-02-06,Penn State
9,1,7:39,2259,2259,Janai Crooms missed Jumper.,2,2,0,3,0.5,Ohio State,Penn State,4,4,0,0,NA,401094771,2019-02-06,
10,1,7:36,2256,2256,Makayla Waterman Offensive Rebound.,2,2,0,1,0.5,Ohio State,Penn State,4,4,0,0,NA,401094771,2019-02-06,
11,1,7:35,2255,2255,Makayla Waterman missed Layup.,2,2,0,5,0.5,Ohio State,Penn State,4,4,0,0,NA,401094771,2019-02-06,
12,1,7:30,2250,2250,Siyeh Frazier Defensive Rebound.,2,2,0,6,0.5,Ohio State,Penn State,4,4,0,0,NA,401094771,2019-02-06,
13,1,7:24,2244,2244,Alisia Smith missed Layup.,2,2,0,3,0.5,Ohio State,Penn State,4,4,0,0,NA,401094771,2019-02-06,
14,1,7:21,2241,2241,Janai Crooms Defensive Rebound.,2,2,0,6,0.5,Ohio State,Penn State,4,4,0,0,NA,401094771,2019-02-06,
15,1,7:15,2235,2235,Dorka Juhasz missed Layup.,2,2,0,0,0.5,Ohio State,Penn State,4,4,0,0,NA,401094771,2019-02-06,
16,1,7:15,2235,2235,Alisia Smith Block.,2,2,0,6,0.5,Ohio State,Penn State,4,4,0,0,NA,401094771,2019-02-06,
17,1,7:09,2229,2229,Dorka Juhasz Offensive Rebound.,2,2,0,1,0.5,Ohio State,Penn State,4,4,0,0,NA,401094771,2019-02-06,
18,1,7:08,2228,2228,Janai Crooms Turnover.,2,2,0,20,0.5,Ohio State,Penn State,4,4,0,0,NA,401094771,2019-02-06,
19,1,6:48,2208,2208,Teniya Page missed Layup.,2,2,0,0,0.5,Ohio State,Penn State,4,4,0,0,NA,401094771,2019-02-06,
20,1,6:48,2208,2208,Dorka Juhasz Defensive Rebound.,2,2,0,0,0.5,Ohio State,Penn State,4,4,0,0,NA,401094771,2019-02-06,
21,1,6:48,2208,2208,Makayla Waterman Block.,2,2,0,10,0.5,Ohio State,Penn State,4,4,0,0,NA,401094771,2019-02-06,
22,1,6:38,2198,2198,Carmen Grande missed Layup.,2,2,0,4,0.5,Ohio State,Penn State,4,4,0,0,NA,401094771,2019-02-06,
23,1,6:34,2194,2194,Dorka Juhasz Offensive Rebound.,2,2,0,3,0.5,Ohio State,Penn State,4,4,0,0,NA,401094771,2019-02-06,
24,1,6:31,2191,2191,Dorka Juhasz made Jumper.,4,2,2,11,0.5486578785179698,Ohio State,Penn State,4,4,0,0,NA,401094771,2019-02-06,Ohio State
25,1,6:20,2180,2180,Kamaria McDaniel made Three Point Jumper. Assisted by Karisma Ortiz.,4,5,-1,24,0.47548556302100853,Ohio State,Penn State,4,4,0,0,NA,401094771,2019-02-06,Penn State
26,1,5:56,2156,2156,Carly Santoro missed Three Point Jumper.,4,5,-1,6,0.47520608923907626,Ohio State,Penn State,4,4,0,0,NA,401094771,2019-02-06,
27,1,5:50,2150,2150,Dorka Juhasz Offensive Rebound.,4,5,-1,6,0.47513589657523964,Ohio State,Penn State,4,4,0,0,NA,401094771,2019-02-06,
28,1,5:44,2144,2144,Carly Santoro made Jumper.,6,5,1,16,0.5249344419963612,Ohio State,Penn State,4,4,0,0,NA,401094771,2019-02-06,Ohio State
29,1,5:28,2128,2128,Kamaria McDaniel missed Layup.,6,5,1,0,0.5251227528657562,Ohio State,Penn State,4,4,0,0,NA,401094771,2019-02-06,
30,1,5:28,2128,2128,Dorka Juhasz Defensive Rebound.,6,5,1,0,0.5251227528657562,Ohio State,Penn State,4,4,0,0,NA,401094771,2019-02-06,
31,1,5:28,2128,2128,Foul on Lauren Ebo.,6,5,1,14,0.5251227528657562,Ohio State,Penn State,4,4,0,0,NA,401094771,2019-02-06,
32,1,5:14,2114,2114,Makayla Waterman Turnover.,6,5,1,0,0.5252884524132849,Ohio State,Penn State,4,4,0,0,NA,401094771,2019-02-06,
33,1,5:14,2114,2114,Amari Carter Steal.,6,5,1,6,0.5252884524132849,Ohio State,Penn State,4,4,0,0,NA,401094771,2019-02-06,
34,1,5:08,2108,2108,Amari Carter missed Three Point Jumper.,6,5,1,5,0.5253597437932811,Ohio State,Penn State,4,4,0,0,NA,401094771,2019-02-06,
35,1,5:03,2103,2103,Kamaria McDaniel Offensive Rebound.,6,5,1,18,0.5254192842743747,Ohio State,Penn State,4,4,0,0,NA,401094771,2019-02-06,
36,1,4:45,2085,2085,Alisia Smith missed Jumper.,6,5,1,3,0.5256346501751078,Ohio State,Penn State,4,4,0,0,NA,401094771,2019-02-06,
37,1,4:42,2082,2082,Janai Crooms Defensive Rebound.,6,5,1,13,0.5256707043885878,Ohio State,Penn State,4,4,0,0,NA,401094771,2019-02-06,
38,1,4:29,2069,2069,Janai Crooms made Jumper.,8,5,3,19,0.5769355292495879,Ohio State,Penn State,4,4,0,0,NA,401094771,2019-02-06,Ohio State
39,1,4:10,2050,2050,Foul on Makayla Waterman.,8,5,3,0,0.5776132346620763,Ohio State,Penn State,4,4,0,0,NA,401094771,2019-02-06,
40,1,4:10,2050,2050,Official TV Timeout,8,5,3,0,0.5776132346620763,Ohio State,Penn State,4,4,0,0,NA,401094771,2019-02-06,
41,1,4:10,2050,2050,Siyeh Frazier made Free Throw.,8,6,2,0,0.5519754153330887,Ohio State,Penn State,4,4,0,0,NA,401094771,2019-02-06,Penn State
42,1,4:10,2050,2050,Siyeh Frazier made Free Throw.,8,7,1,7,0.5260582938856053,Ohio State,Penn State,4,4,0,0,NA,401094771,2019-02-06,Penn State
43,1,4:03,2043,2043,Janai Crooms Turnover.,8,7,1,0,0.5261438456356039,Ohio State,Penn State,4,4,0,0,NA,401094771,2019-02-06,
44,1,4:03,2043,2043,Alisia Smith Steal.,8,7,1,9,0.5261438456356039,Ohio State,Penn State,4,4,0,0,NA,401094771,2019-02-06,
45,1,3:54,2034,2034,Amari Carter missed Three Point Jumper.,8,7,1,4,0.5262542647017093,Ohio State,Penn State,4,4,0,0,NA,401094771,2019-02-06,
46,1,3:50,2030,2030,Carmen Grande Defensive Rebound.,8,7,1,22,0.5263034958909744,Ohio State,Penn State,4,4,0,0,NA,401094771,2019-02-06,
47,1,3:28,2008,2008,Aaliyah Patty Turnover.,8,7,1,0,0.5265760407951462,Ohio State,Penn State,4,4,0,0,NA,401094771,2019-02-06,
48,1,3:28,2008,2008,Siyeh Frazier Steal.,8,7,1,4,0.5265760407951462,Ohio State,Penn State,4,4,0,0,NA,401094771,2019-02-06,
49,1,3:24,2004,2004,Kamaria McDaniel Turnover.,8,7,1,5,0.5266259256986086,Ohio State,Penn State,4,4,0,0,NA,401094771,2019-02-06,
50,1,3:19,1999,1999,Makayla Waterman made Layup. Assisted by Carmen Grande.,10,7,3,24,0.5794621409675412,Ohio State,Penn State,4,4,0,0,NA,401094771,2019-02-06,Ohio State
51,1,2:55,1975,1975,Jaida Travascio-Green missed Three Point Jumper.,10,7,3,2,0.5803486084773818,Ohio State,Penn State,4,4,0,0,NA,401094771,2019-02-06,
52,1,2:53,1973,1973,Alisia Smith Offensive Rebound.,10,7,3,0,0.5804229866308455,Ohio State,Penn State,4,4,0,0,NA,401094771,2019-02-06,
53,1,2:53,1973,1973,Foul on Aaliyah Patty.,10,7,3,2,0.5804229866308455,Ohio State,Penn State,4,4,0,0,NA,401094771,2019-02-06,
54,1,2:51,1971,1971,Siyeh Frazier made Layup. Assisted by Teniya Page.,10,9,1,11,0.5270415699647331,Ohio State,Penn State,4,4,0,0,NA,401094771,2019-02-06,Penn State
55,1,2:40,1960,1960,Foul on Aaliyah Patty.,10,9,1,0,0.527181806727034,Ohio State,Penn State,4,4,0,0,NA,401094771,2019-02-06,
56,1,2:40,1960,1960,Aaliyah Patty Turnover.,10,9,1,29,0.527181806727034,Ohio State,Penn State,4,4,0,0,NA,401094771,2019-02-06,
57,1,2:11,1931,1931,Jaida Travascio-Green missed Three Point Jumper.,10,9,1,4,0.527555809194756,Ohio State,Penn State,4,4,0,0,NA,401094771,2019-02-06,
58,1,2:07,1927,1927,Janai Crooms Defensive Rebound.,10,9,1,9,0.5276078533301112,Ohio State,Penn State,4,4,0,0,NA,401094771,2019-02-06,
59,1,1:58,1918,1918,Dorka Juhasz Turnover.,10,9,1,15,0.5277248306378863,Ohio State,Penn State,4,4,0,0,NA,401094771,2019-02-06,
60,1,1:43,1903,1903,Kamaria McDaniel missed Three Point Jumper.,10,9,1,5,0.5279195116963304,Ohio State,Penn State,4,4,0,0,NA,401094771,2019-02-06,
61,1,1:38,1898,1898,Dorka Juhasz Defensive Rebound.,10,9,1,16,0.5279843648328633,Ohio State,Penn State,4,4,0,0,NA,401094771,2019-02-06,
62,1,1:22,1882,1882,Najah Queenland missed Layup.,10,9,1,5,0.5281919151816961,Ohio State,Penn State,4,4,0,0,NA,401094771,2019-02-06,
63,1,1:17,1877,1877,Makayla Waterman Offensive Rebound.,10,9,1,0,0.5282568163433705,Ohio State,Penn State,4,4,0,0,NA,401094771,2019-02-06,
64,1,1:17,1877,1877,Makayla Waterman made Layup.,12,9,3,13,0.58405532999826,Ohio State,Penn State,4,4,0,0,NA,401094771,2019-02-06,Ohio State
65,1,1:04,1864,1864,Foul on Najah Queenland.,12,9,3,7,0.5845493261382854,Ohio State,Penn State,4,4,0,0,NA,401094771,2019-02-06,
66,1,0:57,1857,1857,Siyeh Frazier made Layup.,12,11,1,12,0.5285168847189095,Ohio State,Penn State,4,4,0,0,NA,401094771,2019-02-06,Penn State
67,1,0:45,1845,1845,Foul on Siyeh Frazier.,12,11,1,6,0.5286734657058288,Ohio State,Penn State,4,4,0,0,NA,401094771,2019-02-06,
68,1,0:39,1839,1839,Jensen Caretti made Jumper.,14,11,3,9,0.5855027613782529,Ohio State,Penn State,4,4,0,0,NA,401094771,2019-02-06,Ohio State
69,1,0:30,1830,1830,Kamaria McDaniel missed Layup.,14,11,3,1,0.5858476481295922,Ohio State,Penn State,4,4,0,0,NA,401094771,2019-02-06,
70,1,0:29,1829,1829,Alisia Smith Offensive Rebound.,14,11,3,0,0.5858860359555161,Ohio State,Penn State,4,4,0,0,NA,401094771,2019-02-06,
71,1,0:29,1829,1829,Foul on Adreana Miller.,14,11,3,0,0.5858860359555161,Ohio State,Penn State,4,4,0,0,NA,401094771,2019-02-06,
72,1,0:29,1829,1829,Alisia Smith missed Free Throw.,14,11,3,0,0.5858860359555161,Ohio State,Penn State,4,4,0,0,NA,401094771,2019-02-06,
73,1,0:29,1829,1829,Penn State Deadball Team Rebound.,14,11,3,0,0.5858860359555161,Ohio State,Penn State,4,4,0,0,NA,401094771,2019-02-06,
74,1,0:29,1829,1829,Alisia Smith made Free Throw.,14,12,2,28,0.5575741750919104,Ohio State,Penn State,4,4,0,0,NA,401094771,2019-02-06,Penn State
75,1,0:01,1801,1801,Dorka Juhasz missed Three Point Jumper.,14,12,2,1,0.5583073758330988,Ohio State,Penn State,4,4,0,0,NA,401094771,2019-02-06,
76,1,0:00,1800,1800,Penn State Defensive Rebound.,14,12,2,0,0.558333749411633,Ohio State,Penn State,4,4,0,0,NA,401094771,2019-02-06,
77,1,0:00,1800,1800,End of 1st Quarter,14,12,2,23,0.558333749411633,Ohio State,Penn State,4,4,0,0,NA,401094771,2019-02-06,
78,2,9:37,1777,1777,Janai Crooms made Layup.,16,12,4,22,0.616273344615417,Ohio State,Penn State,4,4,0,0,NA,401094771,2019-02-06,Ohio State
79,2,9:15,1755,1755,Foul on Janai Crooms.,16,12,4,27,0.6174109733170465,Ohio State,Penn State,4,4,0,0,NA,401094771,2019-02-06,
