play_id,period,time_remaining_period,secs_remaining,secs_remaining_absolute,description,home_score,away_score,score_diff,play_length,win_prob,home,away,home_time_out_remaining,away_time_out_remaining,home_timeout_ind,away_timeout_ind,home_favored_by,game_id,date,whichScored
1,1,9:42,2382,2382,Hannah Johnson missed Three Point Jumper.,0,0,0,0,0.5,Colorado,Washington,4,4,0,0,NA,400994510,2018-02-16,NA
2,1,9:42,2382,2382,Hannah Johnson Offensive Rebound.,0,0,0,7,0.5,Colorado,Washington,4,4,0,0,NA,400994510,2018-02-16,
3,1,9:35,2375,2375,Jenna Moser missed Three Point Jumper.,0,0,0,0,0.5,Colorado,Washington,4,4,0,0,NA,400994510,2018-02-16,
4,1,9:35,2375,2375,Alexis Robinson Defensive Rebound.,0,0,0,29,0.5,Colorado,Washington,4,4,0,0,NA,400994510,2018-02-16,
5,1,9:06,2346,2346,Kennedy Leonard missed Three Point Jumper.,0,0,0,0,0.5,Colorado,Washington,4,4,0,0,NA,400994510,2018-02-16,
6,1,9:06,2346,2346,Mai-Loni Henson Defensive Rebound.,0,0,0,9,0.5,Colorado,Washington,4,4,0,0,NA,400994510,2018-02-16,
7,1,8:57,2337,2337,Mai-Loni Henson Turnover.,0,0,0,19,0.5,Colorado,Washington,4,4,0,0,NA,400994510,2018-02-16,
8,1,8:38,2318,2318,Quinessa Caylao-Do made Layup.,2,0,2,15,0.5457893300573414,Colorado,Washington,4,4,0,0,NA,400994510,2018-02-16,Colorado
9,1,8:23,2303,2303,Mai-Loni Henson made Three Point Jumper.,2,3,-1,27,0.4768903217819385,Colorado,Washington,4,4,0,0,NA,400994510,2018-02-16,Washington
10,1,7:56,2276,2276,Alexis Robinson missed Three Point Jumper.,2,3,-1,0,0.476587121439937,Colorado,Washington,4,4,0,0,NA,400994510,2018-02-16,
11,1,7:56,2276,2276,Mackenzie Wieburg Defensive Rebound.,2,3,-1,9,0.476587121439937,Colorado,Washington,4,4,0,0,NA,400994510,2018-02-16,
12,1,7:47,2267,2267,Amber Melgoza missed Three Point Jumper.,2,3,-1,0,0.47648528574854293,Colorado,Washington,4,4,0,0,NA,400994510,2018-02-16,
13,1,7:47,2267,2267,Alexis Robinson Defensive Rebound.,2,3,-1,9,0.47648528574854293,Colorado,Washington,4,4,0,0,NA,400994510,2018-02-16,
14,1,7:38,2258,2258,Zoe Correal made Layup. Assisted by Kennedy Leonard.,4,3,1,19,0.5236169023910233,Colorado,Washington,4,4,0,0,NA,400994510,2018-02-16,Colorado
15,1,7:19,2239,2239,Hannah Johnson Turnover.,4,3,1,17,0.5238337039162567,Colorado,Washington,4,4,0,0,NA,400994510,2018-02-16,
16,1,7:02,2222,2222,Aubrey Knight missed Layup.,4,3,1,0,0.5240287954002141,Colorado,Washington,4,4,0,0,NA,400994510,2018-02-16,
17,1,7:02,2222,2222,Fapou Semebene Block.,4,3,1,4,0.5240287954002141,Colorado,Washington,4,4,0,0,NA,400994510,2018-02-16,
18,1,6:58,2218,2218,Aubrey Knight Offensive Rebound.,4,3,1,2,0.5240748370447984,Colorado,Washington,4,4,0,0,NA,400994510,2018-02-16,
19,1,6:56,2216,2216,Zoe Correal made Layup. Assisted by Kennedy Leonard.,6,3,3,15,0.5718489256498293,Colorado,Washington,4,4,0,0,NA,400994510,2018-02-16,Colorado
20,1,6:41,2201,2201,Alexis Griggsby Turnover.,6,3,3,2,0.5723588062278907,Colorado,Washington,4,4,0,0,NA,400994510,2018-02-16,
21,1,6:39,2199,2199,Quinessa Caylao-Do Steal.,6,3,3,3,0.572426916502672,Colorado,Washington,4,4,0,0,NA,400994510,2018-02-16,
22,1,6:36,2196,2196,Kennedy Leonard made Three Point Jumper. Assisted by Alexis Robinson.,9,3,6,4,0.6420688683071395,Colorado,Washington,4,4,0,0,NA,400994510,2018-02-16,Colorado
23,1,6:32,2192,2192,Washington  Timeout,9,3,6,0,0.64232497191103,Colorado,Washington,3,4,1,0,NA,400994510,2018-02-16,
24,1,6:32,2192,2192,Official TV Timeout,9,3,6,2,0.64232497191103,Colorado,Washington,3,4,1,0,NA,400994510,2018-02-16,
25,1,6:30,2190,2190,Amber Melgoza missed Jumper.,9,3,6,0,0.6424530734923618,Colorado,Washington,3,4,1,0,NA,400994510,2018-02-16,
26,1,6:30,2190,2190,Aubrey Knight Defensive Rebound.,9,3,6,14,0.6424530734923618,Colorado,Washington,3,4,1,0,NA,400994510,2018-02-16,
27,1,6:16,2176,2176,Zoe Correal missed Layup.,9,3,6,0,0.6433506016000575,Colorado,Washington,3,4,1,0,NA,400994510,2018-02-16,
28,1,6:16,2176,2176,Fapou Semebene Defensive Rebound.,9,3,6,20,0.6433506016000575,Colorado,Washington,3,4,1,0,NA,400994510,2018-02-16,
29,1,5:56,2156,2156,Jenna Moser Turnover.,9,3,6,2,0.6446357973289306,Colorado,Washington,3,4,1,0,NA,400994510,2018-02-16,
30,1,5:54,2154,2154,Kennedy Leonard Steal.,9,3,6,11,0.6447646542936069,Colorado,Washington,3,4,1,0,NA,400994510,2018-02-16,
31,1,5:43,2143,2143,Alexis Robinson made Layup. Assisted by Kennedy Leonard.,11,3,8,17,0.689747927983759,Colorado,Washington,3,4,1,0,NA,400994510,2018-02-16,Colorado
