game_id,away,home,away_rank,home_rank,away_score,home_score,date
400945405,Tulsa,UConn,NA,1,57,105,2017-03-04
400945416,Texas Tech,Baylor,NA,2,63,95,2017-03-04
400945400,Louisville,Notre Dame,14,3,73,84,2017-03-04
400945424,Michigan State,Maryland,NA,4,89,100,2017-03-04
400945399,Kentucky,South Carolina,20,5,77,89,2017-03-04
400945419,Texas A&M,Mississippi State,NA,6,50,66,2017-03-04
400945408,UCLA,Oregon State,15,6,53,63,2017-03-04
400945401,Purdue,Ohio State,NA,9,71,60,2017-03-04
400945463,Oregon,Stanford,NA,10,56,71,2017-03-04
400945450,Oklahoma State,Texas,NA,12,60,71,2017-03-04
400945420,Miami,Duke,16,13,52,57,2017-03-04
400944621,West Virginia,Oklahoma,NA,19,82,58,2017-03-04
400912483,Wichita State,Drake,NA,22,89,105,2017-03-04
400944620,Iowa State,Kansas State,NA,24,67,74,2017-03-04
400945412,Houston,Temple,NA,25,58,67,2017-03-04
400945403,Saint Louis,Dayton,NA,NA,65,75,2017-03-04
400945402,Valparaiso,Green Bay,NA,NA,60,89,2017-03-04
400913342,Miami (OH),Bowling Green,NA,NA,75,65,2017-03-04
400921451,Georgia Southern,Georgia State,NA,NA,62,63,2017-03-04
400944518,Stony Brook,New Hampshire,NA,NA,49,58,2017-03-04
400944634,Tulane,UCF,NA,NA,57,61,2017-03-04
400945235,Marist,Fairfield,NA,NA,44,61,2017-03-04
400921715,Incarnate Word,Texas A&M-CC,NA,NA,65,68,2017-03-04
400944787,Lafayette,Holy Cross,NA,NA,58,54,2017-03-04
400944431,Denver,Western Illinois,NA,NA,39,82,2017-03-04
400913134,UTSA,Old Dominion,NA,NA,81,68,2017-03-04
400913344,Eastern Michigan,Central Michigan,NA,NA,48,71,2017-03-04
400913661,Texas State,UL Monroe,NA,NA,59,61,2017-03-04
400921401,Coastal Carolina,Appalachian State,NA,NA,56,53,2017-03-04
400945417,Duquesne,Saint Joseph's,NA,NA,78,63,2017-03-04
400921420,Arkansas State,South Alabama,NA,NA,49,71,2017-03-04
400913133,UAB,Florida International,NA,NA,61,52,2017-03-04
400913345,Toledo,Ball State,NA,NA,76,66,2017-03-04
400913591,Campbell,Liberty,NA,NA,47,57,2017-03-04
400913637,Central Arkansas,Northwestern State,NA,NA,62,51,2017-03-04
400913343,Northern Illinois,Western Michigan,NA,NA,77,90,2017-03-04
400913340,Akron,Ohio,NA,NA,48,62,2017-03-04
400913341,Buffalo,Kent State,NA,NA,71,80,2017-03-04
400912479,Evansville,Indiana State,NA,NA,52,44,2017-03-04
400912480,Southern Illinois,Loyola Chicago,NA,NA,71,46,2017-03-04
400945397,UIC,Wright State,NA,NA,52,79,2017-03-04
400921732,Lamar,McNeese,NA,NA,83,67,2017-03-04
400921755,New Orleans,Nicholls,NA,NA,69,79,2017-03-04
400923086,Gardner-Webb,UNC Asheville,NA,NA,49,67,2017-03-04
400923089,Radford,High Point,NA,NA,64,74,2017-03-04
400923090,Presbyterian,Longwood,NA,NA,63,62,2017-03-04
400944519,Binghamton,Maine,NA,NA,40,57,2017-03-04
400944555,Iona,Siena,NA,NA,67,47,2017-03-04
400945398,Eastern Kentucky,Belmont,NA,NA,64,94,2017-03-04
400921492,Little Rock,Troy,NA,NA,74,63,2017-03-04
400921649,Arkansas-Pine Bluff,Mississippi Valley State,NA,NA,54,57,2017-03-04
400912482,Illinois State,Bradley,NA,NA,59,70,2017-03-04
400913135,Western Kentucky,Rice,NA,NA,80,75,2017-03-04
400914574,UMKC,Chicago State,NA,NA,71,55,2017-03-04
400944432,North Dakota State,IUPUI,NA,NA,56,69,2017-03-04
400923084,Charleston Southern,Winthrop,NA,NA,70,58,2017-03-04
400921765,Alabama A&M,Grambling,NA,NA,57,87,2017-03-04
400914573,CSU Bakersfield,Grand Canyon,NA,NA,80,64,2017-03-04
400921086,Alcorn State,Prairie View A&M,NA,NA,60,69,2017-03-04
400913130,Marshall,North Texas,NA,NA,60,57,2017-03-04
400921826,Sam Houston State,Stephen F. Austin,NA,NA,49,64,2017-03-04
400921667,Abilene Christian,Houston Baptist,NA,NA,89,60,2017-03-04
400944556,Butler,Xavier,NA,NA,68,66,2017-03-04
400911600,UC Davis,CSU Northridge,NA,NA,63,55,2017-03-04
400913132,Middle Tennessee,Florida Atlantic,NA,NA,71,59,2017-03-04
400920852,Brown,Cornell,NA,NA,67,46,2017-03-04
400920866,Yale,Columbia,NA,NA,55,47,2017-03-04
400920914,Princeton,Dartmouth,NA,NA,56,58,2017-03-04
400920923,Pennsylvania,Harvard,NA,NA,64,46,2017-03-04
400944520,Vermont,Albany,NA,NA,45,65,2017-03-04
400921475,UT Arlington,Louisiana,NA,NA,79,76,2017-03-04
400921701,Alabama State,Jackson State,NA,NA,62,68,2017-03-04
