game_id,away,home,away_rank,home_rank,away_score,home_score,date
401091584,Missouri,South Carolina,25,19,65,79,2019-01-21
401095162,St. Francis (BKN),LIU Brooklyn,NA,NA,79,67,2019-01-21
401095259,Northern Kentucky,Youngstown State,NA,NA,66,77,2019-01-21
401095412,Wagner,Sacred Heart,NA,NA,64,72,2019-01-21
401095129,Robert Morris,Central Connecticut,NA,NA,64,57,2019-01-21
401096055,Maryland-Eastern Shore,Bethune-Cookman,NA,NA,64,52,2019-01-21
401096107,Delaware State,Florida A&M,NA,NA,52,57,2019-01-21
401096181,Morgan State,North Carolina Central,NA,NA,65,62,2019-01-21
401095021,St. Francis (PA),Bryant,NA,NA,63,66,2019-01-21
401096421,Jackson State,Texas Southern,NA,NA,67,76,2019-01-21
401095148,Mt. St. Mary's,Fairleigh Dickinson,NA,NA,63,47,2019-01-21
401096379,Grambling,Prairie View A&M,NA,NA,64,63,2019-01-21
401096189,Norfolk State,South Carolina State,NA,NA,57,50,2019-01-21
401096072,Coppin State,North Carolina A&T,NA,NA,42,66,2019-01-21
401096694,Mississippi Valley State,Southern,NA,NA,67,74,2019-01-21
401095769,Arkansas-Pine Bluff,Alcorn State,NA,NA,59,57,2019-01-21
401091583,Arkansas,Tennessee,NA,NA,80,79,2019-01-21
401093286,Iona,Marist,NA,NA,36,76,2019-01-21
