play_id,period,time_remaining_period,secs_remaining,secs_remaining_absolute,description,home_score,away_score,score_diff,play_length,win_prob,home,away,home_time_out_remaining,away_time_out_remaining,home_timeout_ind,away_timeout_ind,home_favored_by,game_id,date,whichScored
1,1,9:38,2378,2378,Erin Jones made Jumper.,0,0,0,15,0.5,St. Bonaventure,Rhode Island,4,4,0,0,NA,401178185,2020-01-26,NA
2,1,9:23,2363,2363,Foul on Emily Calabrese.,0,2,-2,0,0.45518936608070915,St. Bonaventure,Rhode Island,4,4,0,0,NA,401178185,2020-01-26,Rhode Island
3,1,9:23,2363,2363,Emily Calabrese Turnover.,0,2,-2,13,0.45518936608070915,St. Bonaventure,Rhode Island,4,4,0,0,NA,401178185,2020-01-26,
4,1,9:10,2350,2350,Brazil Harvey-Carr made Three Point Jumper. Assisted by Haby Niang.,0,5,-5,11,0.3888530388008238,St. Bonaventure,Rhode Island,4,4,0,0,NA,401178185,2020-01-26,Rhode Island
5,1,8:59,2339,2339,Olivia Brown missed Three Point Jumper.,0,5,-5,3,0.38828117281918695,St. Bonaventure,Rhode Island,4,4,0,0,NA,401178185,2020-01-26,
6,1,8:56,2336,2336,Erin Jones Defensive Rebound.,0,5,-5,4,0.3881246289681787,St. Bonaventure,Rhode Island,4,4,0,0,NA,401178185,2020-01-26,
7,1,8:52,2332,2332,Erin Jones missed Three Point Jumper.,0,5,-5,4,0.38791552787681716,St. Bonaventure,Rhode Island,4,4,0,0,NA,401178185,2020-01-26,
8,1,8:48,2328,2328,St. Bonaventure Defensive Rebound.,0,5,-5,0,0.38770600478154776,St. Bonaventure,Rhode Island,4,4,1,0,NA,401178185,2020-01-26,
9,1,8:48,2328,2328,St. Bonaventure  Timeout,0,5,-5,0,0.38770600478154776,St. Bonaventure,Rhode Island,3,4,1,0,NA,401178185,2020-01-26,
10,1,8:48,2328,2328,Official TV Timeout,0,5,-5,15,0.38770600478154776,St. Bonaventure,Rhode Island,3,4,1,0,NA,401178185,2020-01-26,
11,1,8:33,2313,2313,Dajah Logan made Three Point Jumper. Assisted by Deja Francis.,3,5,-2,18,0.4541004401909216,St. Bonaventure,Rhode Island,3,4,1,0,NA,401178185,2020-01-26,St. Bonaventure
12,1,8:15,2295,2295,Haby Niang Turnover.,3,5,-2,18,0.4537013997188336,St. Bonaventure,Rhode Island,3,4,1,0,NA,401178185,2020-01-26,
13,1,7:57,2277,2277,Deja Francis made Three Point Jumper. Assisted by Emily Calabrese.,6,5,1,21,0.5234015860734704,St. Bonaventure,Rhode Island,3,4,1,0,NA,401178185,2020-01-26,St. Bonaventure
14,1,7:36,2256,2256,Haby Niang Turnover.,6,5,1,11,0.523639656798127,St. Bonaventure,Rhode Island,3,4,0,0,NA,401178185,2020-01-26,
15,1,7:25,2245,2245,Deja Francis Turnover.,6,5,1,13,0.5237650907820912,St. Bonaventure,Rhode Island,3,4,0,0,NA,401178185,2020-01-26,
16,1,7:12,2232,2232,Haby Niang made Jumper. Assisted by Erin Jones.,6,7,-1,12,0.4760860834024592,St. Bonaventure,Rhode Island,3,4,0,0,NA,401178185,2020-01-26,Rhode Island
17,1,7:00,2220,2220,Deja Francis Turnover.,6,7,-1,13,0.47594819000422334,St. Bonaventure,Rhode Island,3,4,0,0,NA,401178185,2020-01-26,
18,1,6:47,2207,2207,Haby Niang made Layup. Assisted by Maia Moffitt.,6,9,-3,19,0.4278453520675339,St. Bonaventure,Rhode Island,3,4,0,0,NA,401178185,2020-01-26,Rhode Island
19,1,6:28,2188,2188,Dajah Logan Turnover.,6,9,-3,0,0.4271979984005805,St. Bonaventure,Rhode Island,3,4,0,0,NA,401178185,2020-01-26,
20,1,6:28,2188,2188,Erin Jones Steal.,6,9,-3,7,0.4271979984005805,St. Bonaventure,Rhode Island,3,4,0,0,NA,401178185,2020-01-26,
21,1,6:21,2181,2181,Erin Jones made Layup.,6,11,-5,21,0.37978771858620874,St. Bonaventure,Rhode Island,3,4,0,0,NA,401178185,2020-01-26,Rhode Island
22,1,6:00,2160,2160,Olivia Tucker missed Jumper.,6,11,-5,3,0.3786343750918029,St. Bonaventure,Rhode Island,3,4,0,0,NA,401178185,2020-01-26,
23,1,5:57,2157,2157,Maia Moffitt Defensive Rebound.,6,11,-5,8,0.37846914859676306,St. Bonaventure,Rhode Island,3,4,0,0,NA,401178185,2020-01-26,
