play_id,period,time_remaining_period,secs_remaining,secs_remaining_absolute,description,home_score,away_score,score_diff,play_length,win_prob,home,away,home_time_out_remaining,away_time_out_remaining,home_timeout_ind,away_timeout_ind,home_favored_by,game_id,date,whichScored
1,1,9:38,2378,2378,Aminat Jubril made Layup. Assisted by Alexius Horne.,0,0,0,31,0.5,SE Louisiana,Central Arkansas,4,4,0,0,NA,401179420,2020-01-29,NA
2,1,9:07,2347,2347,Hannah Langhi missed Three Point Jumper.,2,0,2,3,0.5451557187753678,SE Louisiana,Central Arkansas,4,4,0,0,NA,401179420,2020-01-29,SE Louisiana
3,1,9:04,2344,2344,Hannah Langhi Offensive Rebound.,2,0,2,0,0.5452207909535292,SE Louisiana,Central Arkansas,4,4,0,0,NA,401179420,2020-01-29,
4,1,9:04,2344,2344,Foul on Aminat Jubril.,2,0,2,17,0.5452207909535292,SE Louisiana,Central Arkansas,4,4,0,0,NA,401179420,2020-01-29,
5,1,8:47,2327,2327,Hannah Langhi made Jumper. Assisted by Taylor Sells.,2,2,0,20,0.5,SE Louisiana,Central Arkansas,4,4,0,0,NA,401179420,2020-01-29,Central Arkansas
6,1,8:27,2307,2307,Foul on Briana Trigg.,2,2,0,0,0.5,SE Louisiana,Central Arkansas,4,4,0,0,NA,401179420,2020-01-29,
7,1,8:27,2307,2307,Morgan Carrier made Free Throw.,3,2,1,0,0.5230650757023589,SE Louisiana,Central Arkansas,4,4,0,0,NA,401179420,2020-01-29,SE Louisiana
8,1,8:27,2307,2307,Morgan Carrier missed Free Throw.,3,2,1,0,0.5230650757023589,SE Louisiana,Central Arkansas,4,4,0,0,NA,401179420,2020-01-29,
9,1,8:27,2307,2307,Carley Hudspeth Defensive Rebound.,3,2,1,8,0.5230650757023589,SE Louisiana,Central Arkansas,4,4,0,0,NA,401179420,2020-01-29,
10,1,8:19,2299,2299,Taylor Sells Turnover.,3,2,1,0,0.5231543655278497,SE Louisiana,Central Arkansas,4,4,0,0,NA,401179420,2020-01-29,
11,1,8:19,2299,2299,Morgan Carrier Steal.,3,2,1,13,0.5231543655278497,SE Louisiana,Central Arkansas,4,4,0,0,NA,401179420,2020-01-29,
12,1,8:06,2286,2286,Aminat Jubril missed Layup.,3,2,1,3,0.5233001645140872,SE Louisiana,Central Arkansas,4,4,0,0,NA,401179420,2020-01-29,
13,1,8:03,2283,2283,Carley Hudspeth Defensive Rebound.,3,2,1,20,0.5233339289833301,SE Louisiana,Central Arkansas,4,4,0,0,NA,401179420,2020-01-29,
14,1,7:43,2263,2263,Taylor Sells made Layup.,3,4,-1,22,0.47643991116827855,SE Louisiana,Central Arkansas,4,4,0,0,NA,401179420,2020-01-29,Central Arkansas
15,1,7:21,2241,2241,Caitlyn Williams made Jumper. Assisted by Alexius Horne.,5,4,1,10,0.5238108181357399,SE Louisiana,Central Arkansas,4,4,0,0,NA,401179420,2020-01-29,SE Louisiana
16,1,7:11,2231,2231,Briana Trigg missed Jumper.,5,4,1,0,0.5239253894801664,SE Louisiana,Central Arkansas,4,4,0,0,NA,401179420,2020-01-29,
17,1,7:11,2231,2231,Hannah Langhi Offensive Rebound.,5,4,1,0,0.5239253894801664,SE Louisiana,Central Arkansas,4,4,0,0,NA,401179420,2020-01-29,
18,1,7:11,2231,2231,Ayanna Trigg missed Jumper.,5,4,1,0,0.5239253894801664,SE Louisiana,Central Arkansas,4,4,0,0,NA,401179420,2020-01-29,
19,1,7:11,2231,2231,Aminat Jubril Block.,5,4,1,0,0.5239253894801664,SE Louisiana,Central Arkansas,4,4,0,0,NA,401179420,2020-01-29,
20,1,7:11,2231,2231,Caitlyn Williams Defensive Rebound.,5,4,1,1,0.5239253894801664,SE Louisiana,Central Arkansas,4,4,0,0,NA,401179420,2020-01-29,
21,1,7:10,2230,2230,Alexius Horne Turnover.,5,4,1,0,0.523936865765826,SE Louisiana,Central Arkansas,4,4,0,0,NA,401179420,2020-01-29,
22,1,7:10,2230,2230,Briana Trigg Steal.,5,4,1,7,0.523936865765826,SE Louisiana,Central Arkansas,4,4,0,0,NA,401179420,2020-01-29,
23,1,7:03,2223,2223,Foul on Alexius Horne.,5,4,1,25,0.5240172928383114,SE Louisiana,Central Arkansas,4,4,0,0,NA,401179420,2020-01-29,
24,1,6:38,2198,2198,Taylor Sells Turnover.,5,4,1,0,0.5243057461322421,SE Louisiana,Central Arkansas,4,4,0,0,NA,401179420,2020-01-29,
25,1,6:38,2198,2198,Caitlyn Williams Steal.,5,4,1,7,0.5243057461322421,SE Louisiana,Central Arkansas,4,4,0,0,NA,401179420,2020-01-29,
26,1,6:31,2191,2191,Morgan Carrier made Three Point Jumper. Assisted by Alexius Horne.,8,4,4,22,0.5964027882570464,SE Louisiana,Central Arkansas,4,4,0,0,NA,401179420,2020-01-29,SE Louisiana
27,1,6:09,2169,2169,Briana Trigg made Layup.,8,6,2,34,0.5491651983154032,SE Louisiana,Central Arkansas,4,4,0,0,NA,401179420,2020-01-29,Central Arkansas
28,1,5:35,2135,2135,Foul on Ayanna Trigg.,8,6,2,24,0.5499551727708791,SE Louisiana,Central Arkansas,4,4,0,0,NA,401179420,2020-01-29,
29,1,5:11,2111,2111,Caitlyn Williams made Layup. Assisted by Alexius Horne.,10,6,4,25,0.6000161089931656,SE Louisiana,Central Arkansas,4,4,0,0,NA,401179420,2020-01-29,SE Louisiana
30,1,4:46,2086,2086,Carley Hudspeth missed Three Point Jumper.,10,6,4,3,0.6011650164028816,SE Louisiana,Central Arkansas,4,4,0,0,NA,401179420,2020-01-29,
31,1,4:43,2083,2083,Hannah Langhi Offensive Rebound.,10,6,4,15,0.6013036262143772,SE Louisiana,Central Arkansas,4,4,0,0,NA,401179420,2020-01-29,
32,1,4:28,2068,2068,Taylor Sells missed Layup.,10,6,4,4,0.6019991781206386,SE Louisiana,Central Arkansas,4,4,0,0,NA,401179420,2020-01-29,
33,1,4:24,2064,2064,Charliee Dugas Defensive Rebound.,10,6,4,4,0.6021853805621896,SE Louisiana,Central Arkansas,4,4,0,0,NA,401179420,2020-01-29,
34,1,4:20,2060,2060,Celica Sterling missed Three Point Jumper.,10,6,4,5,0.6023718946364318,SE Louisiana,Central Arkansas,4,4,0,0,NA,401179420,2020-01-29,
35,1,4:15,2055,2055,Ayanna Trigg Defensive Rebound.,10,6,4,21,0.6026054815425574,SE Louisiana,Central Arkansas,4,4,0,0,NA,401179420,2020-01-29,
36,1,3:54,2034,2034,Taylor Sells made Three Point Jumper.,10,9,1,16,0.5262542647017093,SE Louisiana,Central Arkansas,4,4,0,0,NA,401179420,2020-01-29,Central Arkansas
37,1,3:38,2018,2018,Alexius Horne missed Layup.,10,9,1,7,0.5264517792641368,SE Louisiana,Central Arkansas,4,4,0,0,NA,401179420,2020-01-29,
