play_id,period,time_remaining_period,secs_remaining,secs_remaining_absolute,description,home_score,away_score,score_diff,play_length,win_prob,home,away,home_time_out_remaining,away_time_out_remaining,home_timeout_ind,away_timeout_ind,home_favored_by,game_id,date,whichScored
1,1,9:42,2382,2382,Jamie Bonnarens Turnover.,0,0,0,0,0.5,San Diego State,Colorado State,4,4,0,0,NA,401177069,2019-12-04,NA
2,1,9:42,2382,2382,Tea Adams Steal.,0,0,0,4,0.5,San Diego State,Colorado State,4,4,0,0,NA,401177069,2019-12-04,
3,1,9:38,2378,2378,Tea Adams made Layup.,2,0,2,14,0.5444902640703563,San Diego State,Colorado State,4,4,0,0,NA,401177069,2019-12-04,San Diego State
4,1,9:24,2364,2364,Jamie Bonnarens missed Three Point Jumper.,2,0,2,5,0.5447891790846144,San Diego State,Colorado State,4,4,0,0,NA,401177069,2019-12-04,
5,1,9:19,2359,2359,Sophia Ramos Defensive Rebound.,2,0,2,17,0.5448965882700816,San Diego State,Colorado State,4,4,0,0,NA,401177069,2019-12-04,
6,1,9:02,2342,2342,Taylor Kalmer missed Three Point Jumper.,2,0,2,7,0.5452642352579568,San Diego State,Colorado State,4,4,0,0,NA,401177069,2019-12-04,
7,1,8:55,2335,2335,Megan Jacobs Defensive Rebound.,2,0,2,7,0.5454166796565887,San Diego State,Colorado State,4,4,0,0,NA,401177069,2019-12-04,
8,1,8:48,2328,2328,Katia Stamatelopoulos missed Jumper.,2,0,2,1,0.5455697159214952,San Diego State,Colorado State,4,4,0,0,NA,401177069,2019-12-04,
9,1,8:47,2327,2327,Colorado State Offensive Rebound.,2,0,2,5,0.5455916255074778,San Diego State,Colorado State,4,4,0,0,NA,401177069,2019-12-04,
10,1,8:42,2322,2322,Andrea Brady missed Jumper.,2,0,2,4,0.5457013472490212,San Diego State,Colorado State,4,4,0,0,NA,401177069,2019-12-04,
11,1,8:38,2318,2318,Monique Terry Defensive Rebound.,2,0,2,7,0.5457893300573414,San Diego State,Colorado State,4,4,0,0,NA,401177069,2019-12-04,
12,1,8:31,2311,2311,Sophia Ramos made Layup.,4,0,4,27,0.5911181189973534,San Diego State,Colorado State,4,4,0,0,NA,401177069,2019-12-04,San Diego State
13,1,8:04,2284,2284,Katia Stamatelopoulos Turnover.,4,0,4,23,0.5922884211854506,San Diego State,Colorado State,4,4,0,0,NA,401177069,2019-12-04,
14,1,7:41,2261,2261,Tea Adams made Three Point Jumper. Assisted by Monique Terry.,7,0,7,20,0.6594420393146894,San Diego State,Colorado State,4,4,0,0,NA,401177069,2019-12-04,San Diego State
15,1,7:21,2241,2241,Andrea Brady missed Three Point Jumper.,7,0,7,4,0.660877608419938,San Diego State,Colorado State,4,4,0,0,NA,401177069,2019-12-04,
16,1,7:17,2237,2237,Tea Adams Defensive Rebound.,7,0,7,18,0.66116552487307,San Diego State,Colorado State,4,4,0,0,NA,401177069,2019-12-04,
17,1,6:59,2219,2219,Baylee Vanderdoes made Three Point Jumper. Assisted by Taylor Kalmer.,10,0,10,23,0.7237774440880531,San Diego State,Colorado State,4,4,0,0,NA,401177069,2019-12-04,San Diego State
18,1,6:36,2196,2196,Makenzie Ellis Turnover.,10,0,10,0,0.7259011323095601,San Diego State,Colorado State,4,4,0,0,NA,401177069,2019-12-04,
19,1,6:36,2196,2196,Sophia Ramos Steal.,10,0,10,7,0.7259011323095601,San Diego State,Colorado State,4,4,0,0,NA,401177069,2019-12-04,
20,1,6:29,2189,2189,Foul on Katia Stamatelopoulos.,10,0,10,0,0.7265476660931253,San Diego State,Colorado State,4,4,0,0,NA,401177069,2019-12-04,
21,1,6:29,2189,2189,Tea Adams missed Free Throw.,10,0,10,0,0.7265476660931253,San Diego State,Colorado State,4,4,0,0,NA,401177069,2019-12-04,
22,1,6:29,2189,2189,San Diego State Offensive Rebound.,10,0,10,0,0.7265476660931253,San Diego State,Colorado State,4,4,0,0,NA,401177069,2019-12-04,
23,1,6:29,2189,2189,Tea Adams made Free Throw.,11,0,11,16,0.7455265887801541,San Diego State,Colorado State,4,4,0,0,NA,401177069,2019-12-04,San Diego State
24,1,6:13,2173,2173,Andrea Brady missed Jumper.,11,0,11,4,0.7470780366135068,San Diego State,Colorado State,4,4,0,0,NA,401177069,2019-12-04,
25,1,6:09,2169,2169,Taylor Kalmer Defensive Rebound.,11,0,11,3,0.7474655962062112,San Diego State,Colorado State,4,4,0,0,NA,401177069,2019-12-04,
26,1,6:06,2166,2166,Isabela Hernandez missed Three Point Jumper.,11,0,11,5,0.7477562827465526,San Diego State,Colorado State,4,4,0,0,NA,401177069,2019-12-04,
27,1,6:01,2161,2161,Zayn Dornstauder Offensive Rebound.,11,0,11,1,0.7482409018551066,San Diego State,Colorado State,4,4,0,0,NA,401177069,2019-12-04,
28,1,6:00,2160,2160,Zayn Dornstauder Turnover.,11,0,11,0,0.7483378479376087,San Diego State,Colorado State,4,4,0,0,NA,401177069,2019-12-04,
29,1,6:00,2160,2160,Andrea Brady Steal.,11,0,11,12,0.7483378479376087,San Diego State,Colorado State,4,4,0,0,NA,401177069,2019-12-04,
30,1,5:48,2148,2148,Foul on Kennedi Villa.,11,0,11,0,0.7495018328737763,San Diego State,Colorado State,4,4,0,0,NA,401177069,2019-12-04,
31,1,5:48,2148,2148,Megan Jacobs made Free Throw.,11,1,10,0,0.730335355535361,San Diego State,Colorado State,4,4,0,0,NA,401177069,2019-12-04,Colorado State
32,1,5:48,2148,2148,Megan Jacobs made Free Throw.,11,2,9,25,0.7102692790629529,San Diego State,Colorado State,4,4,0,0,NA,401177069,2019-12-04,Colorado State
33,1,5:23,2123,2123,Kennedi Villa made Layup.,13,2,11,21,0.7519312044667424,San Diego State,Colorado State,4,4,0,0,NA,401177069,2019-12-04,San Diego State
34,1,5:02,2102,2102,Foul on Isabela Hernandez.,13,2,11,4,0.7539774987615441,San Diego State,Colorado State,4,4,0,0,NA,401177069,2019-12-04,
35,1,4:58,2098,2098,Megan Jacobs missed Three Point Jumper.,13,2,11,5,0.7543679404591507,San Diego State,Colorado State,4,4,0,0,NA,401177069,2019-12-04,
36,1,4:53,2093,2093,Taylor Kalmer Defensive Rebound.,13,2,11,14,0.7548563183225001,San Diego State,Colorado State,4,4,0,0,NA,401177069,2019-12-04,
37,1,4:39,2079,2079,Sophia Ramos Turnover.,13,2,11,0,0.7562258071100232,San Diego State,Colorado State,4,4,0,0,NA,401177069,2019-12-04,
38,1,4:39,2079,2079,Makenzie Ellis Steal.,13,2,11,8,0.7562258071100232,San Diego State,Colorado State,4,4,0,0,NA,401177069,2019-12-04,
39,1,4:31,2071,2071,Megan Jacobs missed Jumper.,13,2,11,0,0.7570097965648596,San Diego State,Colorado State,4,4,0,0,NA,401177069,2019-12-04,
40,1,4:31,2071,2071,Zayn Dornstauder Block.,13,2,11,1,0.7570097965648596,San Diego State,Colorado State,4,4,0,0,NA,401177069,2019-12-04,
41,1,4:30,2070,2070,Colorado State Offensive Rebound.,13,2,11,0,0.757107871565447,San Diego State,Colorado State,4,4,0,0,NA,401177069,2019-12-04,
42,1,4:30,2070,2070,Official TV Timeout,13,2,11,14,0.757107871565447,San Diego State,Colorado State,4,4,0,0,NA,401177069,2019-12-04,
43,1,4:16,2056,2056,Megan Jacobs missed Three Point Jumper.,13,2,11,3,0.7584827822673132,San Diego State,Colorado State,4,4,0,0,NA,401177069,2019-12-04,
44,1,4:13,2053,2053,Zayn Dornstauder Defensive Rebound.,13,2,11,9,0.7587778728953003,San Diego State,Colorado State,4,4,0,0,NA,401177069,2019-12-04,
45,1,4:04,2044,2044,Tea Adams missed Layup.,13,2,11,8,0.7596641789412525,San Diego State,Colorado State,4,4,0,0,NA,401177069,2019-12-04,
46,1,3:56,2036,2036,Zayn Dornstauder Offensive Rebound.,13,2,11,0,0.7604533521548724,San Diego State,Colorado State,4,4,0,0,NA,401177069,2019-12-04,
47,1,3:56,2036,2036,Zayn Dornstauder missed Layup.,13,2,11,3,0.7604533521548724,San Diego State,Colorado State,4,4,0,0,NA,401177069,2019-12-04,
48,1,3:53,2033,2033,Jamie Bonnarens Defensive Rebound.,13,2,11,4,0.7607496290274299,San Diego State,Colorado State,4,4,0,0,NA,401177069,2019-12-04,
49,1,3:49,2029,2029,Foul on Tea Adams.,13,2,11,0,0.7611449572771081,San Diego State,Colorado State,4,4,0,0,NA,401177069,2019-12-04,
50,1,3:49,2029,2029,Liah Davis made Free Throw.,13,3,10,0,0.7414668132400253,San Diego State,Colorado State,4,4,0,0,NA,401177069,2019-12-04,Colorado State
51,1,3:49,2029,2029,Liah Davis made Free Throw.,13,4,9,19,0.7207622378912957,San Diego State,Colorado State,4,4,0,0,NA,401177069,2019-12-04,Colorado State
52,1,3:30,2010,2010,Zayn Dornstauder missed Layup.,13,4,9,0,0.7224688062087998,San Diego State,Colorado State,4,4,0,0,NA,401177069,2019-12-04,
53,1,3:30,2010,2010,San Diego State Offensive Rebound.,13,4,9,5,0.7224688062087998,San Diego State,Colorado State,4,4,0,0,NA,401177069,2019-12-04,
54,1,3:25,2005,2005,Taylor Kalmer missed Jumper.,13,4,9,3,0.7229196075600822,San Diego State,Colorado State,4,4,0,0,NA,401177069,2019-12-04,
55,1,3:22,2002,2002,Makenzie Ellis Defensive Rebound.,13,4,9,11,0.7231904392050105,San Diego State,Colorado State,4,4,0,0,NA,401177069,2019-12-04,
56,1,3:11,1991,1991,Foul on Zayn Dornstauder.,13,4,9,0,0.7241857841219761,San Diego State,Colorado State,4,4,0,0,NA,401177069,2019-12-04,
57,1,3:11,1991,1991,Jamie Bonnarens made Free Throw.,13,5,8,0,0.7022557234482327,San Diego State,Colorado State,4,4,0,0,NA,401177069,2019-12-04,Colorado State
58,1,3:11,1991,1991,Jamie Bonnarens made Free Throw.,13,6,7,8,0.679354036118782,San Diego State,Colorado State,4,4,0,0,NA,401177069,2019-12-04,Colorado State
59,1,3:03,1983,1983,Taylor Kalmer made Layup.,15,6,9,0,0.7249119873197418,San Diego State,Colorado State,4,4,0,0,NA,401177069,2019-12-04,San Diego State
60,1,3:03,1983,1983,Foul on Jamie Bonnarens.,15,6,9,0,0.7249119873197418,San Diego State,Colorado State,4,4,0,0,NA,401177069,2019-12-04,
61,1,3:03,1983,1983,Taylor Kalmer made Free Throw.,16,6,10,8,0.7458540608908938,San Diego State,Colorado State,4,4,0,0,NA,401177069,2019-12-04,San Diego State
62,1,2:55,1975,1975,Megan Jacobs Turnover.,16,6,10,10,0.7466230399803894,San Diego State,Colorado State,4,4,0,0,NA,401177069,2019-12-04,
63,1,2:45,1965,1965,Taylor Kalmer made Jumper. Assisted by Monique Terry.,18,6,12,16,0.786329428213899,San Diego State,Colorado State,4,4,0,0,NA,401177069,2019-12-04,San Diego State
64,1,2:29,1949,1949,Katia Stamatelopoulos missed Jumper.,18,6,12,3,0.787982694202384,San Diego State,Colorado State,4,4,0,0,NA,401177069,2019-12-04,
65,1,2:26,1946,1946,Baylee Vanderdoes Defensive Rebound.,18,6,12,15,0.7882933419755641,San Diego State,Colorado State,4,4,0,0,NA,401177069,2019-12-04,
66,1,2:11,1931,1931,Foul on Makenzie Ellis.,18,6,12,0,0.7898498198079056,San Diego State,Colorado State,4,4,0,0,NA,401177069,2019-12-04,
67,1,2:11,1931,1931,Tea Adams made Free Throw.,19,6,13,0,0.8075790369305512,San Diego State,Colorado State,4,4,0,0,NA,401177069,2019-12-04,San Diego State
68,1,2:11,1931,1931,Tea Adams made Free Throw.,20,6,14,18,0.8241455480308632,San Diego State,Colorado State,4,4,0,0,NA,401177069,2019-12-04,San Diego State
69,1,1:53,1913,1913,Liah Davis made Layup. Assisted by Makenzie Ellis.,20,8,12,13,0.7917133725526856,San Diego State,Colorado State,4,4,0,0,NA,401177069,2019-12-04,Colorado State
70,1,1:40,1900,1900,Taylor Kalmer Turnover.,20,8,12,0,0.7930494480797508,San Diego State,Colorado State,4,4,0,0,NA,401177069,2019-12-04,
71,1,1:40,1900,1900,Megan Jacobs Steal.,20,8,12,14,0.7930494480797508,San Diego State,Colorado State,4,4,0,0,NA,401177069,2019-12-04,
72,1,1:26,1886,1886,Liah Davis made Layup. Assisted by Megan Jacobs.,20,10,10,15,0.7552462503124053,San Diego State,Colorado State,4,4,0,0,NA,401177069,2019-12-04,Colorado State
73,1,1:11,1871,1871,Monique Terry made Three Point Jumper. Assisted by Sophia Ramos.,23,10,13,26,0.8138142232833752,San Diego State,Colorado State,4,4,0,0,NA,401177069,2019-12-04,San Diego State
74,1,0:45,1845,1845,Liah Davis Turnover.,23,10,13,0,0.8164768798477768,San Diego State,Colorado State,4,4,0,0,NA,401177069,2019-12-04,
75,1,0:45,1845,1845,Sophia Ramos Steal.,23,10,13,6,0.8164768798477768,San Diego State,Colorado State,4,4,0,0,NA,401177069,2019-12-04,
76,1,0:39,1839,1839,Sophia Ramos made Jumper.,25,10,15,20,0.8490312245692616,San Diego State,Colorado State,4,4,0,0,NA,401177069,2019-12-04,San Diego State
77,1,0:19,1819,1819,Foul on Taylor Kalmer.,25,10,15,0,0.8510486280004727,San Diego State,Colorado State,4,4,0,0,NA,401177069,2019-12-04,
78,1,0:19,1819,1819,Jamie Bonnarens made Free Throw.,25,11,14,0,0.8357114987815759,San Diego State,Colorado State,4,4,0,0,NA,401177069,2019-12-04,Colorado State
79,1,0:19,1819,1819,Jamie Bonnarens made Free Throw.,25,12,13,18,0.8191307706235045,San Diego State,Colorado State,4,4,0,0,NA,401177069,2019-12-04,Colorado State
80,1,0:01,1801,1801,Kennedi Villa made Three Point Jumper. Assisted by Sophia Ramos.,28,12,16,1,0.8669623696728581,San Diego State,Colorado State,4,4,0,0,NA,401177069,2019-12-04,San Diego State
81,1,0:00,1800,1800,End of 1st Quarter,28,12,16,16,0.8670610218404036,San Diego State,Colorado State,4,4,0,0,NA,401177069,2019-12-04,
82,2,9:44,1784,1784,Sophia Ramos missed Three Point Jumper.,28,12,16,4,0.8686388924054436,San Diego State,Colorado State,4,4,0,0,NA,401177069,2019-12-04,
83,2,9:40,1780,1780,Baylee Vanderdoes Offensive Rebound.,28,12,16,2,0.8690333286107856,San Diego State,Colorado State,4,4,0,0,NA,401177069,2019-12-04,
84,2,9:38,1778,1778,Monique Terry missed Three Point Jumper.,28,12,16,5,0.86923056277189,San Diego State,Colorado State,4,4,0,0,NA,401177069,2019-12-04,
85,2,9:33,1773,1773,Taylor Mole Defensive Rebound.,28,12,16,17,0.8697237246907441,San Diego State,Colorado State,4,4,0,0,NA,401177069,2019-12-04,
86,2,9:16,1756,1756,Katia Stamatelopoulos made Jumper.,28,14,14,12,0.8421396926349553,San Diego State,Colorado State,4,4,0,0,NA,401177069,2019-12-04,Colorado State
87,2,9:04,1744,1744,Foul on Monique Terry.,28,14,14,0,0.8433726817448979,San Diego State,Colorado State,4,4,0,0,NA,401177069,2019-12-04,
88,2,9:04,1744,1744,Monique Terry Turnover.,28,14,14,16,0.8433726817448979,San Diego State,Colorado State,4,4,0,0,NA,401177069,2019-12-04,
89,2,8:48,1728,1728,Katia Stamatelopoulos missed Layup.,28,14,14,6,0.8450241302610196,San Diego State,Colorado State,4,4,0,0,NA,401177069,2019-12-04,
